GENES FAILING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
C1orf144		1e+38	0	0	0	0	0
CYP2C19	chr10	96522462	96612671	0	0	0	0
MYCL1		1e+38	0	0	0	0	0


GENES PASSING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
ABCB1	chr7	87133178	87342639	601.272	162.817596080706	-0.0875282012247974	0.169345551887448
ABCC4	chr13	95672082	95953687	330.302	42.3735265997533	-0.338220353350395	0.0602966355772004
ABCG2	chr4	89011415	89152474	713.397833333333	115.093794374294	-0.14219326933061	0.178488651859928
ABL1	chr9	133589267	133763062	619.659670103092	216.937315879696	0.0811113647978283	0.110862369677312
ABL2	chr1	179068461	179198819	701.789392523365	239.64139731214	-0.0262022633181086	0.159521068979661
AKT1	chr14	105235686	105262080	414.145078125	160.697170701924	0.0902204256986078	0.14631504401645
AKT2	chr19	40736223	40791302	549.038196202532	237.864350269901	0.0733228074717942	0.150455502338307
AKT3	chr1	243651534	244006886	656.021857142857	271.84247263334	-0.123406877016608	0.188539639289636
ALK	chr2	29415639	30144477	697.80418972332	238.190770205561	0.0993745523964304	0.13624116040835
APC	chr5	112043201	112181936	847.140209876544	250.571656701612	-0.0104928189285969	0.14612931603881
AR	chrX	66763873	66950461	615.605824324324	203.650080998674	0.0856889795779909	0.172688759673545
ASXL1	chr20	30946146	31027122	835.530792857143	271.690481672738	0.0379122240261697	0.185561036059511
ATM	chr11	108093558	108239826	580.808941368078	180.951826867756	-0.106009873653456	0.186595185771269
ATRX	chrX	76760355	77041755	649.890887195122	244.854843533086	-0.0693127497443993	0.189489645832716
AURKA	chr20	54944444	54967351	579.261473684211	130.118756007478	-0.0811779923904299	0.16226544997478
AURKB	chr17	8108048	8113944	636.237135135135	166.127872001312	0.0265773957287944	0.13301977269273
AXL	chr19	41725103	41767672	623.584318181818	271.623906954912	0.000201882150390992	0.120313839044355
BAK1	chr6	33540322	33548070	549.95032	184.381779253097	0.00240472925034626	0.147058123563553
BAP1	chr3	52435019	52444121	559.749418604651	212.334952075092	0.124607254044034	0.135635113169034
BARD1	chr2	215590369	215674435	647.085870967742	240.234184512683	-0.0648444489240245	0.156523204047537
BCL2	chr18	60790578	60986613	590.399619047619	185.303485596307	0.0675484616742237	0.18251280950432
BCL2L11	chr2	111878490	111926022	833.174812080537	260.084016172662	0.0412054477339113	0.148435632665967
BCOR	chrX	39910498	40036582	815.677908450704	259.169718566374	0.0982422950569514	0.145435439814133
BCR	chr22	23522551	23660224	780.536144542773	275.475682015137	0.169731903316827	0.161550746529527
BRAF	chr7	140433812	140624564	614.317725301205	340.460322785627	-0.0974576344938511	0.207596412753015
BRCA1	chr17	41196311	41277500	827.548245901639	275.392523162768	-0.0352442402350957	0.176107936748836
BRCA2	chr13	32889616	32973809	695.08823943662	210.276582925915	-0.0509867488943273	0.174684430664747
BRIP1	chr17	59756546	59940920	602.643433628319	242.712779182154	-0.0822118763770906	0.215037014005263
CALR	chr19	13049413	13055304	742.141129032258	312.596409765747	0.0777965406378456	0.14170977934559
CBL	chr11	119076985	119178859	730.399714285714	226.270016370954	-0.0315921892481684	0.134642726551022
CBLB	chr3	105377108	105587887	613.03887254902	203.878956811397	-0.0583604956983329	0.165984096347963
CCND1	chr11	69455872	69469242	356.81352	87.2144935391452	0.0130993265262554	0.129459783214042
CCNE1	chr19	30302900	30315215	803.847450704225	318.615214558551	0.035831836286297	0.182109268839368
CDH1	chr16	68771194	68869444	791.765595505618	285.531960290747	0.0276578592838333	0.113250322253642
CDK4	chr12	58141509	58146230	784.442636363636	310.353905622575	0.0117288238387796	0.117049494084849
CDK6	chr7	92234234	92465941	587.070638888889	215.01528062832	-0.00710258202993858	0.136121233730817
CDK8	chr13	26828755	26978569	640.357939393939	238.000710748867	-0.111089023694313	0.173334355304614
CDKN1A	chr6	36644236	36655116	778.520685714286	209.978205015156	0.120372356691156	0.140785128970162
CDKN2A	chr9	21967750	21994490	456.619185185185	309.020752592472	-0.0155374366986181	0.171757657500533
CEBPA	chr19	33790839	33793470	247.217384615385	242.169439118418	0.508937609609798	0.629094678794176
CHD1	chr5	98190907	98262238	502.363440758294	215.658484864226	-0.198294306657923	0.204883345329
CHEK1	chr11	125495030	125546150	614.159953488372	201.896188485102	-0.0264566533312756	0.222916056216949
CHEK2	chr22	29083730	29137822	588.406805194805	216.385753784495	-0.0419881850252786	0.195391603374529
CREBBP	chr16	3775055	3930121	570.190263888889	189.724416373045	0.0922579188050932	0.216159210265688
CRLF2	chrX	1314886	1325338	1056.47233333333	171.441427824329	-0.0800448279404869	0.120057367411241
CSF1R	chr5	149432853	149492935	519.469853211009	195.084142106215	0.095011533945527	0.157663254527134
CTNNB1	chr3	41240941	41281939	767.161893333334	196.54452245586	0.0430119133412575	0.116569650730665
CYP1B1	chr2	38294745	38303323	698.7705	44.1753554739517	0.0181481910242011	0.091431983794468
CYP2C8	chr10	96796528	96829254	613.446375	115.73237589741	-0.0170632141612245	0.092187345272402
CYP2D6	chr22	42522500	42526883	392.543454545455	109.867391527404	0.146698005032355	0.131640599939924
CYP3A4	chr7	99354582	99381811	661.161142857143	109.265429004998	-0.0761491087683041	0.124891597702622
CYP3A5	chr7	99245812	99277621	645.875666666667	105.522109500279	-0.0262930721697184	0.163955177420572
DAXX	chr6	33286334	33290793	747.756438356164	187.56183654793	0.154778355329113	0.117367487488404
DDR2	chr1	162602227	162750247	789.04334939759	213.427080655137	-0.0104439531143145	0.118671885452218
DEPDC5	chr22	32149936	32303020	665.952537190082	184.575077247068	0.030508322483154	0.168726622246297
DNAJB1	chr19	14625581	14629201	849.074606741573	235.049073484696	0.0841773858710327	0.132392976796387
DNMT3A	chr2	25455829	25565459	498.82356302521	239.86785373119	0.0608669813877115	0.175684727799016
DOCK7	chr1	62920396	63154039	531.322853571429	198.601492401879	-0.15049602331446	0.183606372517726
DPYD	chr1	97543299	98386615	633.292671875	260.054694599764	-0.124482084685029	0.244072354975423
EGFR	chr7	55086724	55275031	652.012831168831	183.035497805569	-0.0106117475378684	0.130639649384459
EIF3A	chr10	120794540	120840334	737.695388429752	265.015809957122	-0.105505791108085	0.13937388017113
EML4	chr2	42396489	42559688	681.710453837598	281.939152319167	-0.029924715949675	0.194251677541128
EPHA3	chr3	89156673	89531284	718.623244897959	194.823162282508	-0.0634082820697924	0.138294011867509
EPHA5	chr4	66185280	66536213	617.190854368932	201.478876013777	-0.0805399077822785	0.163683102860172
EPHB2	chr1	23037330	23241823	587.133532608696	153.934602454889	0.0919865394969192	0.136440327107256
EPHB6	chr7	142552775	142568847	492.794649484536	192.6347210306	0.155364612874861	0.133198407149287
ERBB2	chr17	37844336	37884915	545.511183823529	218.999450200499	0.0800558810288602	0.190558168482781
ERBB3	chr12	56473808	56497291	815.758496732026	237.005882171982	0.057753125001006	0.126137870160996
ERBB4	chr2	212240441	213403352	613.148375838926	179.989028891322	-0.0832560004247612	0.145787900510435
ERCC2	chr19	45854648	45873845	508.43125	65.0729953105549	0.0342980331938612	0.0655601738646709
ESR1	chr6	152011630	152424408	483.72725	51.1927968144689	-0.0330315990128971	0.0214431360568498
