Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Gene_Score	Pvalue	B-H_Pvalue	Transcripts
ABCB1	chr7:87138523-87160736	480	0.293414753387866	0.181965544015675	140.839081626176	0.634206052498477	0.999969889076182	ABCB1:NM_000927
ABCC4	chr13:95815293-95815533	240	0.729004125600256	0.135292774576565	174.960990144061	0.266008577621255	0.999969889076182	ABCC4:NM_001105515,ABCC4:NM_005845
ABCG2	chr4:89052201-89052441	240	-0.0631841057933776	0.0684352105593562	15.1641853904106	0.86968165965834	0.999969889076182	ABCG2:NM_001257386,ABCG2:NM_004827
ABL1	chr9:133589613-133761091	4840	0.372946002906879	0.143406642903326	1805.05865406929	0.517872641646031	0.999969889076183	ABL1:NM_007313,ABL1:NM_005157
ABL2	chr1:179076813-179198612	5280	0.283484027928843	0.208132141795021	1496.79566746429	0.629891944229768	0.999970041895584	ABL2:NM_001168238,ABL2:NM_001168237,ABL2:NM_001168236,ABL2:NM_007314,ABL2:NM_001136001,ABL2:NM_001136000,ABL2:NM_001168239,ABL2:NM_005158
AKT1	chr14:105236596-105259076	3680	0.282216845081234	0.243361557581817	1038.55798989894	0.676446861232938	0.999969889076183	AKT1:NM_001014432,AKT1:NM_005163,AKT1:NM_001014431
AKT2	chr19:40736199-40791295	7440	-0.184137354514539	0.224688568121318	1369.98191758817	0.72809350375948	0.993640965727597	AKT2:NM_001243028,AKT2:NM_001626,AKT2:NM_001243027,MIR641:NR_030371
AKT3	chr1:243651502-244006648	4040	0.404169322468445	0.212688746689009	1632.84406277252	0.526875199979423	0.999969889076183	AKT3:NM_001206729,AKT3:NM_005465,SDCCAG8:NM_006642,AKT3:NM_181690
ALK	chr2:29415574-30144527	10290	0.128697370541549	0.162517431592579	1324.29594287254	0.779406600689448	0.999969889076178	ALK:NM_004304
APC	chr5:112043375-112179855	11000	0.230021243236597	0.170067376367436	2530.23367560256	0.668716893137821	0.999969889076177	APC:NM_001127511,APC:NM_001127510,APC:NM_000038
AR	chrX:66764956-66943725	3600	1.65531499157591	0.151568318523364	5959.13396967326	0.00564553805233275	0.319605733821146	AR:NM_000044,AR:NM_001011645
ASXL1	chr20:30946485-31025166	6680	0.15618410480516	0.199170424982943	1043.30982009847	0.754810470428911	0.999969889076182	ASXL1:NM_015338,ASXL1:NM_001164603
ATM	chr11:108098282-108236262	17320	0.334340792584121	0.207609696396824	5790.78252755698	0.581789785484181	0.999969889076175	ATM:NM_000051
ATRX	chrX:76760292-77041811	15885	-0.49552168342437	0.232041893036981	7871.36194119613	0.418850710809443	0.999969889076175	ATRX:NM_138270,ATRX:NM_000489
AURKA	chr20:54945183-54963351	2160	0.344524237503569	0.127142783653635	744.172353007708	0.554858142428556	0.999969889076183	AURKA:NM_198436,AURKA:NM_003600,AURKA:NM_198435,AURKA:NM_198434,AURKA:NM_198433,AURKA:NM_198437
AURKB	chr17:8108154-8113637	2120	-0.711057111379333	0.184553350975862	1507.44107612419	0.265935035497703	0.999969889076183	AURKB:NM_004217,AURKB:NM_001284526,AURKB:NM_001256834
AXL	chr19:41725043-41767724	7819	-0.118451615483513	0.182632511957302	926.173181465591	0.752574390586483	0.999969889076181	AXL:NM_021913,AXL:NM_001278599,AXL:NM_001699
BAK1	chr6:33541490-33545465	1400	-0.673083983585519	0.16453600669163	942.317577019727	0.304737738556585	0.999969889076182	BAK1:NM_001188
BAP1	chr3:52436209-52443975	4880	0.175926726933027	0.171905192489326	858.522427433173	0.760482545540041	0.999969889076183	BAP1:NM_004656
BARD1	chr2:215590311-215674485	7069	0.25137833364737	0.222775123672447	1776.99344055326	0.651038498759583	0.999969889076181	BARD1:NM_000465,BARD1:NM_001282549,BARD1:NM_001282548,BARD1:NM_001282543,BARD1:NM_001282545,BARD1:NR_104212,BARD1:NR_104215,BARD1:NR_104216
BCL2	chr18:60795763-60985929	1000	-1.58761866228852	0.223073466099768	1587.61866228852	0.0182271966217554	0.978263586770198	BCL2:NM_000633,BCL2:NM_000657
BCL2L11	chr2:111881298-111921897	5880	-0.18733651490653	0.259409254698161	1101.5387076504	0.619902394752845	0.967450543089966	BCL2L11:NM_001204113,BCL2L11:NM_207003,BCL2L11:NM_207002,BCL2L11:NM_001204112,BCL2L11:NM_006538,BCL2L11:NM_001204111,BCL2L11:NM_001204107,BCL2L11:NM_001204106,BCL2L11:NM_001204109,BCL2L11:NM_001204108,BCL2L11:NM_138627,BCL2L11:NM_138626,BCL2L11:NM_138625,BCL2L11:NM_138624,BCL2L11:NM_138623,BCL2L11:NM_138622,BCL2L11:NM_138621,BCL2L11:NM_001204110
BCOR	chrX:39911326-39937278	6760	-0.182845347934284	0.161937385017325	1236.03455203576	0.701089308987929	0.999969889076182	BCOR:NM_001123384,BCOR:NM_001123383,BCOR:NM_001123385,BCOR:NM_017745
BCR	chr22:23615791-23634863	1280	-0.81498346450914	0.156687255356806	1043.1788345717	0.188912213227914	0.999969889076182	BCR:NM_004327,BCR:NM_021574
BRAF	chr7:140434362-140624593	5223	0.32465785058266	0.232111864011824	1695.68795359323	0.569017200758928	0.999969889076183	BRAF:NM_004333
BRCA1	chr17:41197595-41276192	5840	0.37634038261767	0.184790571224093	2197.82783448719	0.525971757470655	0.999969889076183	BRCA1:NM_007298,BRCA1:NM_007300,BRCA1:NM_007294,BRCA1:NM_007299,BRCA1:NM_007297,BRCA1:NR_027676
BRCA2	chr13:32890509-32972941	13480	-0.0675671082602517	0.201725202963401	910.804619348193	0.770625406711576	0.999969889076176	BRCA2:NM_000059
BRIP1	chr17:59756484-59940982	10620	-0.02125671278596	0.271969216198167	225.746289786895	0.739845842883942	0.999969889076177	BRIP1:NM_032043
CALR	chr19:13049359-13055367	3311	0.122094830279042	0.203930605227492	404.255983053908	0.777254844653445	0.999969889076183	CALR:NM_004343,MIR6515:NR_106770
CBL	chr11:119077103-119170526	5003	0.286971010790871	0.171020597356883	1435.71596698673	0.58666195462652	0.999969889076183	CBL:NM_005188
CBLB	chr3:105377782-105586456	5520	0.3561139064927	0.189018998919691	1965.7487638397	0.550657582741519	0.999969889076183	CBLB:NM_170662
CCND1	chr11:69456059-69466086	1400	0.2643948173035	0.143312547595457	370.152744224899	0.698931445469552	0.999969889076182	CCND1:NM_053056
CCNE1	chr19:30303359-30315249	3640	-0.691931986656577	0.160996292143869	2518.63243142994	0.243521418184227	0.999969889076183	CCNE1:NM_001238
CDH1	chr16:68771221-68867436	4680	-0.134591926318813	0.187244071688674	629.890215172046	0.737437293200361	0.999969889076183	CDH1:NM_004360
