Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Gene_Score	Pvalue	B-H_Pvalue	Transcripts
ABCB1	chr7:87138523-87160736	480	0.0284809511795081	0.182826725409504	13.6708565661639	0.668921461873116	0.999983172729405	ABCB1:NM_000927
ABCC4	chr13:95815293-95815533	240	-0.0604176025788905	0.0919582881321733	14.5002246189337	0.853741845878817	0.999983172729405	ABCC4:NM_001105515,ABCC4:NM_005845
ABCG2	chr4:89052201-89052441	240	-0.0776405173906458	0.0163963415971497	18.633724173755	0.812636771225331	0.999983172729405	ABCG2:NM_001257386,ABCG2:NM_004827
ABL1	chr9:133589613-133761091	4840	-0.167335172605273	0.1809951093934	809.902235409523	0.639156459144366	0.999983172729405	ABL1:NM_007313,ABL1:NM_005157
ABL2	chr1:179076813-179112262	4960	-0.0357219935851457	0.153870425042768	177.181088182323	0.687656057068372	0.999983172729405	ABL2:NM_001168238,ABL2:NM_001168237,ABL2:NM_001168236,ABL2:NM_007314,ABL2:NM_001136001,ABL2:NM_001136000,ABL2:NM_001168239,ABL2:NM_005158
AKT1	chr14:105236596-105259076	3680	-0.244721302671359	0.183470722243877	900.574393830603	0.590930957429255	0.999983172729406	AKT1:NM_001014432,AKT1:NM_005163,AKT1:NM_001014431
AKT2	chr19:40736199-40771352	7200	-0.203195909351025	0.292097234831042	1463.01054732738	0.515970003503512	0.999983172729403	AKT2:NM_001243028,AKT2:NM_001626,AKT2:NM_001243027
AKT3	chr1:243651502-244006648	4040	0.167294148938211	0.280586411170886	675.868361710373	0.616344445042661	0.999983172729406	AKT3:NM_001206729,AKT3:NM_005465,SDCCAG8:NM_006642,AKT3:NM_181690
ALK	chr2:29446178-29448458	560	-0.278746418772212	0.250546450785919	156.097994512439	0.498788510642943	0.999983172729405	ALK:NM_004304
APC	chr5:112043375-112179855	11000	0.0799664776593635	0.215971306874716	879.631254252999	0.646661054987679	0.999983172729402	APC:NM_001127511,APC:NM_001127510,APC:NM_000038
AR	chrX:66764956-66943725	3600	-0.116912204025734	0.22890611072194	420.883934492642	0.639645178810036	0.999983172729406	AR:NM_000044,AR:NM_001011645
ASXL1	chr20:30946485-31025166	6640	-0.141290145798158	0.282140037413958	938.166568099767	0.612609505393215	0.978554961885202	ASXL1:NM_015338,ASXL1:NM_001164603
ATM	chr11:108098282-108236262	17320	0.228397370162139	0.261518888412233	3955.84245120825	0.550973356841718	0.999983172729402	ATM:NM_000051
AURKA	chr20:54945183-54963351	2160	0.117664756871753	0.241317995073268	254.155874842987	0.649393809742242	0.999983172729405	AURKA:NM_198436,AURKA:NM_003600,AURKA:NM_198435,AURKA:NM_198434,AURKA:NM_198433,AURKA:NM_198437
AURKB	chr17:8108154-8113637	2120	-0.188241110257067	0.133948540584856	399.071153744983	0.614680427322671	0.999983172729405	AURKB:NM_004217,AURKB:NM_001284526,AURKB:NM_001256834
BAK1	chr6:33541490-33545465	1400	-0.203597517677578	0.160132182040644	285.03652474861	0.611804555489941	0.999983172729405	BAK1:NM_001188
BAP1	chr3:52436209-52443975	4880	-0.217486514567109	0.235920828369762	1061.33419108749	0.53481517963053	0.999983172729405	BAP1:NM_004656
BCL2	chr18:60795763-60985929	1000	0.0281669707505683	0.280305150778614	28.1669707505683	0.638011557032931	0.999983172729405	BCL2:NM_000633,BCL2:NM_000657
BCL2L11	chr2:111881298-111921897	5720	0.105971222984031	0.222248193645002	606.155395468659	0.567098895289709	0.991579952790501	BCL2L11:NM_001204113,BCL2L11:NM_207003,BCL2L11:NM_207002,BCL2L11:NM_001204112,BCL2L11:NM_006538,BCL2L11:NM_001204111,BCL2L11:NM_001204107,BCL2L11:NM_001204106,BCL2L11:NM_001204109,BCL2L11:NM_001204108,BCL2L11:NM_138627,BCL2L11:NM_138626,BCL2L11:NM_138625,BCL2L11:NM_138624,BCL2L11:NM_138623,BCL2L11:NM_138622,BCL2L11:NM_138621,BCL2L11:NM_001204110
BCOR	chrX:39911326-39937278	6760	-0.101179120468109	0.163538225535749	683.970854364419	0.653636744581022	0.999983172729404	BCOR:NM_001123384,BCOR:NM_001123383,BCOR:NM_001123385,BCOR:NM_017745
BCR	chr22:23615791-23634863	1280	-0.17038140124821	0.17455300859035	218.088193597709	0.535627374014733	0.999983172729405	BCR:NM_004327,BCR:NM_021574
BRAF	chr7:140434362-140624553	5120	0.0657389321809766	0.363944041776972	336.5833327666	0.634336619115426	0.945636261168024	BRAF:NM_004333
BRCA1	chr17:41197595-41276192	5840	0.0729339012389794	0.233702266106511	425.933983235639	0.658614054079551	0.999983172729404	BRCA1:NM_007298,BRCA1:NM_007300,BRCA1:NM_007294,BRCA1:NM_007299,BRCA1:NM_007297,BRCA1:NR_027676
BRCA2	chr13:32890509-32972941	13480	0.198623189126839	0.211486900142177	2677.44058942979	0.539649667097133	0.999983172729402	BRCA2:NM_000059
CBLB	chr3:105377782-105586456	5520	0.114585188692851	0.227499040677644	632.510241584535	0.617361063279925	0.999983172729404	CBLB:NM_170662
CBL	chr11:119077103-119170526	5003	0.02309234014289	0.202569785964279	115.530977734878	0.700794216106601	0.999983172729405	CBL:NM_005188
CCND1	chr11:69456059-69466086	1400	-0.209835048088788	0.19650321544223	293.769067324303	0.670794644586831	0.999983172729405	CCND1:NM_053056
CCNE1	chr19:30303359-30315249	3640	-0.0147771061640406	0.197561012912287	53.7886664371077	0.637489041835225	0.970998153230003	CCNE1:NM_001238
CDH1	chr16:68771221-68867436	4680	-0.0847615312463827	0.363412512572682	396.683966233071	0.570328756571006	0.952925141071551	CDH1:NM_004360
CDK4	chr12:58141980-58146199	2400	-0.130105235493712	0.16853362736369	312.25256518491	0.628225588519449	0.999983172729406	TSPAN31:NM_005981,CDK4:NM_000075,MIR6759:NR_106817
CDK6	chr7:92244365-92462659	2000	-0.0481649855353939	0.217985901366483	96.3299710707877	0.770145316815325	0.999983172729405	CDK6:NM_001145306,CDK6:NM_001259
CDK8	chr13:26828681-26978314	3680	0.205549967984876	0.258121962357421	756.423882184343	0.597065310711852	0.999983172729406	CDK8:NM_001260
CDKN2A	chr9:21968113-21994352	1760	-0.357459953300565	0.390659873111148	629.129517808994	0.521368407129383	0.968733698581611	CDKN2A:NM_001195132,CDKN2A:NM_058197,CDKN2A:NM_058195,CDKN2A:NM_000077
