Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	BI427750478_12779	1	11854345	11854465	-0.181	-0.194039205510922	0.14	-0.224	120	0.604164377648397	0.999983172729405	loss	183.013	210.976	122.917	312.525	-0.391	0.112	3
2	0	BI427750478_12780	1	11854385	11854505	-0.276	-0.276594009281412	0.053	-0.274	120	0.386410912047495	0.999983172729405	loss	215.395	260.835	144.725	386.558	-0.391	-0.145	4
3	0	BI427750478_12781	1	11854425	11854545	-0.302	-0.300789935912784	0.08	-0.279	120	0.336921454825982	0.999983172729405	loss	219.639	269.86	147.583	399.958	-0.526	-0.198	4
4	0	BI427750478_12782	1	11854465	11854585	-0.33	-0.339351616029674	0.095	-0.304	120	0.341849825268168	0.999983172729405	loss	184.856	231.898	124.158	343.592	-0.526	-0.093	3
5	0	BI427750478_12783	1	11856256	11856376	-0.474	-0.48051602101588	0.074	-0.48	120	0.162138731720635	0.999983172729405	loss	182.728	252.422	122.725	374.067	-0.596	-0.304	3
6	0	BI427750478_12784	1	11856296	11856416	-0.377	-0.375155982906992	0.123	-0.408	120	0.227842656753896	0.999983172729405	loss	215.37	278.879	144.708	413.35	-0.564	-0.106	4
7	0	BI427750478_12785	1	11856336	11856456	-0.266	-0.267314755629334	0.111	-0.231	120	0.406118393944765	0.999983172729405	loss	213.068	257.962	143.158	382.292	-0.482	-0.087	4
8	0	BI427750478_12786	1	11856376	11856496	-0.239	-0.255992148919207	0.09	-0.223	120	0.514589668223138	0.999983172729405	loss	171.258	199.707	115	295.792	-0.5	-0.087	3
9	0	BI427750478_12787	1	16705953	16706073	-0.074	-0.0689081014420921	0.132	-0.026	120	0.818391562765652	0.999983172729405	loss	255.176	264.141	171.517	391.467	-0.384	0.116	4
10	0	BI427750478_12788	1	16705993	16706113	0.043	0.0524395834103205	0.07	0.048	120	0.854214657704628	0.999983172729405	gain	281.334	273.541	189.133	405.425	-0.138	0.175	4
11	0	BI427750478_12789	1	16706033	16706153	0.077	0.0760934380206677	0.057	0.079	120	0.812270802046938	0.999983172729405	gain	243.198	230.77	163.45	341.917	-0.046	0.217	4
12	0	BI427750478_12790	1	16706073	16706193	0.097	0.0739917949338127	0.053	0.1	120	0.860481124368752	0.999983172729405	gain	175.18	163.3	117.642	241.733	-0.046	0.217	2
17	0	BI427750478_12795	1	23107824	23107944	0.12	0.0930090091032599	0.216	0.169	120	0.832449092044523	0.999983172729405	gain	163.202	155.353	109.575	229.933	-0.327	0.479	2
18	0	BI427750478_12796	1	23107864	23107984	-0.101	-0.117324163632963	0.193	-0.113	120	0.76335104225436	0.999983172729405	loss	179.969	194.79	120.867	288.492	-0.426	0.23	3
19	0	BI427750478_12797	1	23107904	23108024	-0.274	-0.289363927313136	0.122	-0.29	120	0.45250190539263	0.999983172729405	loss	172.47	207.811	115.817	307.825	-0.511	-0.039	3
20	0	BI427750478_12798	1	23107944	23108064	-0.372	-0.396091753493293	0.075	-0.383	120	0.352537728952168	0.999983172729405	loss	145.619	187.32	97.733	277.4	-0.511	-0.206	2
21	0	BI427750478_12799	1	23110845	23110965	0.022	0.0086173246567369	0.099	0.018	120	0.98171035439386	0.999983172729405	gain	197.193	194.74	132.467	288.417	-0.128	0.22	3
22	0	BI427750478_12800	1	23110885	23111005	-0.062	-0.0596931418345642	0.149	-0.062	120	0.847073609679569	0.999983172729405	loss	242.209	255.537	162.783	378.692	-0.299	0.22	4
23	0	BI427750478_12801	1	23110925	23111045	-0.168	-0.159124208170263	0.086	-0.178	120	0.579677875482478	0.999983172729405	loss	258.938	291.192	174.05	431.633	-0.304	0.011	4
24	0	BI427750478_12802	1	23110965	23111085	-0.184	-0.174790220028067	0.072	-0.18	120	0.541341772320488	0.999983172729405	loss	258.876	294.06	174.008	435.892	-0.304	0.002	4
25	0	BI427750478_12803	1	23111005	23111125	-0.132	-0.124502028001218	0.073	-0.13	120	0.669795033649298	0.999983172729405	loss	256.834	281.87	172.633	417.792	-0.304	0.009	4
26	0	BI427750478_12804	1	23111045	23111165	-0.047	-0.0426617696710456	0.081	-0.056	120	0.887902236569846	0.999983172729405	loss	252.268	261.121	169.558	386.983	-0.184	0.116	4
27	0	BI427750478_12805	1	23111085	23111205	0.019	0.0201675373500181	0.089	0.026	120	0.948687641454608	0.999983172729405	gain	246.02	243.162	165.35	360.317	-0.175	0.239	4
28	0	BI427750478_12806	1	23111125	23111245	0.105	0.104295206182114	0.073	0.098	120	0.744262481772371	0.999983172729405	gain	246.267	229.16	165.517	339.525	-0.038	0.248	4
29	0	BI427750478_12807	1	23111165	23111285	0.152	0.149046183768795	0.067	0.162	120	0.64885780563476	0.999983172729405	gain	241.738	217.677	162.467	322.475	-0.017	0.282	4
30	0	BI427750478_12808	1	23111205	23111325	0.137	0.130094511550452	0.078	0.159	120	0.706565671616852	0.999983172729405	gain	226.915	205.661	152.483	304.633	-0.042	0.282	3
31	0	BI427750478_12809	1	23111245	23111365	0.052	0.0386454578049973	0.119	0.035	120	0.918086301390496	0.999983172729405	gain	200.336	191.765	134.583	284	-0.145	0.282	3
32	0	BI427750478_12810	1	23111285	23111405	0.004	-0.0137757961903771	0.074	0.014	120	0.972282332505854	0.999983172729405	loss	183.755	182.808	123.417	270.7	-0.145	0.17	2
33	0	BI427750478_12811	1	23111325	23111445	0.007	-0.0120864616915998	0.072	0.028	120	0.97605092070695	0.999983172729405	loss	180.241	179.076	121.05	265.158	-0.145	0.118	2
34	0	BI427750478_12812	1	23111365	23111485	0.043	0.0247803605839538	0.044	0.044	120	0.950422553085243	0.999983172729405	gain	184.832	179.261	124.142	265.433	-0.059	0.118	2
35	0	BI427750478_12813	1	23111405	23111525	-0.006	-0.028449695685695	0.078	0.013	120	0.945783588937727	0.999983172729405	loss	170.787	170.585	114.683	252.55	-0.153	0.113	2
36	0	BI427750478_12814	1	23111445	23111565	-0.044	-0.0788063593146292	0.072	-0.05	120	0.868567496374392	0.999983172729405	loss	139.655	143.146	93.717	211.808	-0.196	0.109	2
37	0	BI427750478_12815	1	23111485	23111605	0.01	-0.0467070398863473	0.146	-0.048	120	0.93568390002657	0.999983172729405	loss	100.121	102.458	67.092	151.392	-0.196	0.4	1
38	0	BI427750478_12816	1	23189446	23189566	-0.413	-0.43853322823144	0.159	-0.453	120	0.310946289421642	0.999983172729405	loss	138.393	187.315	92.867	277.392	-0.644	-0.081	2
39	0	BI427750478_12817	1	23189486	23189606	-0.462	-0.478216346965887	0.09	-0.457	120	0.219141042967988	0.999983172729405	loss	158.141	217.234	106.167	321.817	-0.644	-0.295	3
40	0	BI427750478_12818	1	23189526	23189646	-0.376	-0.389493315294454	0.107	-0.355	120	0.300788881622411	0.999983172729405	loss	170.268	221.005	114.333	327.417	-0.644	-0.186	3
41	0	BI427750478_12819	1	23189566	23189686	-0.32	-0.33544632219153	0.074	-0.319	120	0.384290232621665	0.999983172729405	loss	168.907	210.897	113.417	312.408	-0.465	-0.176	3
42	0	BI427750478_12820	1	23189606	23189726	-0.254	-0.27443184740166	0.094	-0.248	120	0.502139278880624	0.999983172729405	loss	160.369	191.659	107.667	283.842	-0.457	-0.023	2
43	0	BI427750478_12821	1	23189646	23189766	-0.229	-0.25913588565782	0.096	-0.21	120	0.568452636490827	0.999983172729405	loss	139.445	164.209	93.575	243.083	-0.457	-0.023	2
44	0	BI427750478_12822	1	23191336	23191456	-0.451	-0.503244728914716	0.24	-0.435	120	0.367043244659763	0.999983172729405	loss	94.256	122.572	63.142	181.258	-0.899	-0.098	1
45	0	BI427750478_12823	1	23191376	23191496	-0.315	-0.347997220037949	0.175	-0.241	120	0.456898124738078	0.999983172729405	loss	130.894	159.809	87.817	236.55	-0.899	-0.098	2
