GENES FAILING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
C1orf144		1e+38	0	0	0	0	0
CEBPA	chr19	33790839	33793470	46.2484615384615	45.0381249201767	-0.0445163248290726	0.46833443843883
CYP2C19	chr10	96522462	96612671	0	0	0	0
ESR2	chr14	64693750	64805268	43.6335	2.45265106568382	-0.25748536813082	0.0701555216505599
FGFR3	chr4	1795038	1810599	43.8030879120879	24.2191875620983	-0.685872433720407	0.257809628583372
H3F3A	chr1	226250407	226259703	36.7266774193548	18.9695094693786	-1.08638777230711	0.432581428561309
MYCL1		1e+38	0	0	0	0	0
NKX2-1	chr14	36985603	36989430	31.4115483870968	18.7092694652966	-0.433122585201123	0.282976026373919
SLC19A1	chr21	46934628	46962385	37.5935	5.65747454700417	0.231230427830277	0.0276310358491727
SOD2	chr6	160100148	160114353	19.35625	2.89381749381332	-0.986403979697771	0.193559457078081


GENES PASSING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
ABCB1	chr7	87133178	87342639	215.75525	47.4091411273976	0.293414753387866	0.181965544015675
ABCC4	chr13	95672082	95953687	143.656	25.5045993303169	0.729004125600256	0.135292774576565
ABCG2	chr4	89011415	89152474	227.881166666667	33.2153662878928	0.0625822111092313	0.101599829108069
ABL1	chr9	133589267	133763062	247.308845360825	101.340815272676	0.372946002906879	0.143406642903326
ABL2	chr1	179068461	179198819	265.266224299066	89.8476641008524	0.288959398817556	0.205475602671462
AKT1	chr14	105235686	105262080	132.60059375	51.4748863645294	0.28762470745684	0.242507094576926
AKT2	chr19	40736223	40791302	139.802240506329	72.5122429334061	-0.184137354514539	0.224688568121318
AKT3	chr1	243651534	244006886	254.518428571429	113.66406018492	0.352363230807145	0.208550103072308
ALK	chr2	29415639	30144477	237.262395256917	95.0448674011712	0.129703315477752	0.165241636073818
APC	chr5	112043201	112181936	325.695209876543	103.166704545842	0.230021243236597	0.170067376367436
AR	chrX	66763873	66950461	735.470283783784	305.287950621214	1.65531499157591	0.151568318523364
ASXL1	chr20	30946146	31027122	300.091614285714	104.005349151212	0.156707734242541	0.199783749831857
ATM	chr11	108093558	108239826	216.079094462541	73.71233155931	0.335782210594492	0.207212989696226
ATRX	chrX	76760355	77041755	129.498225609756	52.6887661569734	-0.49552168342437	0.232041893036981
AURKA	chr20	54944444	54967351	222.524105263158	64.016126057913	0.344524237503569	0.127142783653635
AURKB	chr17	8108048	8113944	108.25672972973	31.1340042411688	-0.711057111379333	0.184553350975862
AXL	chr19	41725103	41767672	166.89975974026	81.7699374911856	-0.118451615483513	0.182632511957302
BAK1	chr6	33540322	33548070	93.05332	37.2355888179253	-0.673083983585519	0.16453600669163
BAP1	chr3	52435019	52444121	184.097872093023	80.8035646395652	0.18164781568651	0.168952535050164
BARD1	chr2	215590369	215674435	234.939329032258	98.2238699298771	0.25137833364737	0.222775123672447
BCL2	chr18	60790578	60986613	54.6984285714286	23.9664215827685	-1.58761866228852	0.223073466099768
BCL2L11	chr2	111878490	111926022	222.549704697987	71.3002959946135	-0.197463751843803	0.239804710328106
BCOR	chrX	39910498	40036582	223.187288732394	74.7842072586449	-0.182379919284205	0.161460789558988
BCR	chr22	23522551	23660224	132.719238938053	56.4077776046871	-0.809302583513199	0.164973117515309
BRAF	chr7	140433812	140624564	242.859718072289	139.314860198371	0.433084101192447	0.303545252108926
BRCA1	chr17	41196311	41277500	323.115480874317	110.705918175992	0.272884834031008	0.187796979030872
BRCA2	chr13	32889616	32973809	197.400028169014	65.1556029596413	-0.0694145980964744	0.199658647687335
BRIP1	chr17	59756546	59940920	169.719101769911	76.5707183434453	-0.02125671278596	0.271969216198167
CALR	chr19	13049413	13055304	256.858983870968	122.631941278073	0.125394814016547	0.207526647633285
CBL	chr11	119076985	119178859	283.355417582417	88.7993868535244	0.287825546487363	0.171762250013029
CBLB	chr3	105377108	105587887	236.79231372549	81.7718621239317	0.3561139064927	0.189018998919691
CCND1	chr11	69455872	69469242	108.9242	28.7966175499832	0.2643948173035	0.143312547595457
CCNE1	chr19	30302900	30315215	159.544779411765	59.4392425815801	-0.688589637580149	0.159781601525011
CDH1	chr16	68771194	68869444	223.546269662921	84.1501756139574	-0.128948497196155	0.184926024365675
CDK4	chr12	58141509	58146230	208.2245	81.739728748827	-0.188593702087832	0.187051509408318
CDK6	chr7	92234234	92465941	208.171	87.2202931114339	0.253116823302477	0.177932064545858
CDK8	chr13	26828755	26978569	189.515575757576	85.3020403445382	-0.0159665224051515	0.216391173490422
CDKN1A	chr6	36644236	36655116	130.5505	46.117218618197	-0.846604538348021	0.224835868283924
CDKN2A	chr9	21967750	21994490	83.9182962962963	65.5339009808211	-0.576615288665547	0.20249480245956
CHD1	chr5	98190907	98262238	100.320981042654	48.2175142229305	-0.405374536506154	0.275437626244286
CHEK1	chr11	125495030	125546150	225.414662790698	83.9101791475405	0.280347226557812	0.273664817144644
CHEK2	chr22	29083730	29137822	110.500194805195	43.0956708104006	-0.524351598099778	0.231199303034624
CREBBP	chr16	3775055	3930121	249.660347222222	100.317981782628	0.503751602246828	0.193345848520273
CRLF2	chrX	1314886	1325338	441.639277777778	84.47052156805	0.238550517486639	0.0846314074614345
CSF1R	chr5	149432853	149492935	175.098	83.9846033469198	0.216959358585511	0.132336164664447
CTNNB1	chr3	41240941	41281939	298.79532	85.3321736077173	0.27178192543671	0.114755097443055
CYP1B1	chr2	38294745	38303323	268.05825	28.1190195630555	0.282510658326186	0.101537857762365
CYP2C8	chr10	96796528	96829254	114.0703125	22.7664040329131	-0.570237919240806	0.104973231081183
CYP2D6	chr22	42522500	42526883	80.4444545454545	30.1350322212406	-0.310253510313845	0.214904736264159
CYP3A4	chr7	99354582	99381811	168.056380952381	27.8440982008177	-0.191271335020765	0.147297744071716
CYP3A5	chr7	99245812	99277621	163.988916666667	36.7547324038196	-0.212309756845245	0.14548051287913
DAXX	chr6	33286334	33290793	120.570890410959	36.1079420518654	-0.846444404443904	0.160475803587362
DDR2	chr1	162602227	162750247	313.782915662651	98.8764361896767	0.278038563384053	0.120731245697891
DEPDC5	chr22	32149936	32303020	125.989462809917	40.5495183714641	-0.600862345380191	0.192694293334624
DNAJB1	chr19	14625581	14629201	367.307168539326	128.799525513139	0.340480058337442	0.12822855406851
