Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Exon_Score	Pvalue	B-H_Pvalue	Transcripts	AveDepth
ABCB1	chr7:87138523-87138763	240	0.114629385741002	0.0146655962743925	50.4470246709851	0.831158737147491	0.999969889076182	ABCB1:NM_000927(intron 29-exon 28)	457.86875
ABCB1	chr7:87160496-87160736	240	0.472200121034731	0.0456006944520473	151.976121723732	0.437253367849463	0.999969889076182	ABCB1:NM_000927(intron 24-exon 23)	308.49175
ABCC4	chr13:95815293-95815533	240	0.729004125600256	0.135292774576565	151.993055559774	0.266008577621255	0.999969889076182	ABCC4:NM_001105515(intron 20-intron 19),ABCC4:NM_005845(intron 20-intron 19)	255.3
ABCG2	chr4:89052201-89052441	240	-0.0631841057933776	0.0684352105593562	17.6620359550423	0.86968165965834	0.999969889076182	ABCG2:NM_001257386(intron 7-intron 6),ABCG2:NM_004827(intron 7-intron 6)	464.71575
ABL1	chr9:133589613-133589933	320	0.359051736861959	0.0283862353209026	177.732586112972	0.504334918636958	0.999969889076182	ABL1:NM_007313(5' UTR -intron 1)	491.653833333333
ABL1	chr9:133710751-133710991	240	0.414352477479271	0.0538150328338173	126.204776046831	0.572484987099331	0.999969889076182	ABL1:NM_007313(intron 1),ABL1:NM_005157(5' UTR -intron 1)	113.75325
ABL1	chr9:133729416-133729656	240	0.308420094706844	0.0505929800595545	95.9243050457117	0.554753973735045	0.999969889076182	ABL1:NM_007313(intron 1-intron 2),ABL1:NM_005157(intron 1-intron 2)	541.61225
ABL1	chr9:133730154-133730514	360	0.321611010051236	0.0643236229332133	137.966820454731	0.49441312096213	0.999969889076182	ABL1:NM_007313(intron 2-intron 3),ABL1:NM_005157(intron 2-intron 3)	693.89
ABL1	chr9:133738124-133738444	320	0.453361369248168	0.0972357178565072	146.84181439731	0.402100070212448	0.999969889076182	ABL1:NM_007313(intron 3-intron 4),ABL1:NM_005157(intron 3-intron 4)	522.506
ABL1	chr9:133747416-133747696	280	0.406410939766097	0.0684193972901725	132.550851452961	0.509791972543518	0.999969889076182	ABL1:NM_007313(intron 4-intron 5),ABL1:NM_005157(intron 4-intron 5)	289.7128
ABL1	chr9:133748214-133748454	240	0.781531067812684	0.0214752152566243	312.874235217583	0.208659381083278	0.999969889076182	ABL1:NM_007313(intron 5-intron 6),ABL1:NM_005157(intron 5-intron 6)	298.5445
ABL1	chr9:133750225-133750465	240	0.477924791582699	0.0588409049087221	141.120178449132	0.372881413186991	0.999969889076182	ABL1:NM_007313(intron 6-intron 7),ABL1:NM_005157(intron 6-intron 7)	523.10325
ABL1	chr9:133753716-133754036	320	0.347646961872654	0.044154004473461	150.743049253344	0.482698711574397	0.999969889076182	ABL1:NM_007313(intron 7-intron 8),ABL1:NM_005157(intron 7-intron 8)	625.899
ABL1	chr9:133755358-133755638	280	0.439765405130756	0.0320632358281482	183.961759321375	0.393819763887881	0.999969889076182	ABL1:NM_007313(intron 8-intron 9),ABL1:NM_005157(intron 8-intron 9)	579.331
ABL1	chr9:133755847-133756087	240	0.667848541259471	0.0120156009388347	307.785400618926	0.310184843173708	0.999969889076182	ABL1:NM_007313(intron 9-intron 10),ABL1:NM_005157(intron 9-intron 10)	219.29075
ABL1	chr9:133759331-133761091	1760	0.288879409234852	0.0920356488362434	526.753490599339	0.615334169407545	0.999969889076183	ABL1:NM_007313(intron 10-3' UTR ),ABL1:NM_005157(intron 10-3' UTR )	399.26630952381
ABL2	chr1:179076813-179078133	1320	0.0885205455615711	0.0924840386414165	120.812118417132	0.831624293728837	0.999970391901309	ABL2:NM_001168238(3' UTR -intron 13),ABL2:NM_001168237(3' UTR -intron 14),ABL2:NM_001168236(3' UTR -exon 12),ABL2:NM_007314(3' UTR -exon 13),ABL2:NM_001136000(3' UTR -intron 14),ABL2:NM_001168239(3' UTR -intron 13),ABL2:NM_005158(3' UTR -exon 13)	564.000516129032
