Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Exon_Score	Pvalue	B-H_Pvalue	Transcripts	AveDepth
ABCB1	chr7:87138523-87138763	240	0.138817727949432	0.045329501254096	44.7643548105567	0.786389861096133	0.999862205672968	ABCB1:NM_000927(intron 29-exon 28)	416.2635
ABCB1	chr7:87160496-87160736	240	0.47709184333677	0.0716595905877036	131.073428052662	0.423910772108299	0.999862205672968	ABCB1:NM_000927(intron 24-exon 23)	280.47475
ABCC4	chr13:95815293-95815533	240	0.34847611645757	0.147170838996578	69.5986174273522	0.582712256813904	0.999862205672968	ABCC4:NM_001105515(intron 20-intron 19),ABCC4:NM_005845(intron 20-intron 19)	232.1215
ABCG2	chr4:89052201-89052441	240	-0.0557448106751666	0.0607946675168687	16.2703651549146	0.877944349787159	0.999862205672968	ABCG2:NM_001257386(intron 7-intron 6),ABCG2:NM_004827(intron 7-intron 6)	422.48775
ABL1	chr9:133589613-133589933	320	0.379427584338531	0.0534810929125587	154.417887331614	0.459437149644724	0.999862205672968	ABL1:NM_007313(5' UTR -intron 1)	446.975166666667
ABL1	chr9:133710751-133710991	240	0.156205186912956	0.107586110068361	36.2987287046272	0.83908460190302	0.999862205672968	ABL1:NM_007313(intron 1),ABL1:NM_005157(5' UTR -intron 1)	103.45075
ABL1	chr9:133729416-133729656	240	0.382753568914191	0.0478342006478849	121.280350325051	0.441974183702915	0.999862205672968	ABL1:NM_007313(intron 1-intron 2),ABL1:NM_005157(intron 1-intron 2)	492.389
ABL1	chr9:133730154-133730514	360	0.454340466920613	0.0714738814647936	187.418599215684	0.314807207265469	0.999862205672968	ABL1:NM_007313(intron 2-intron 3),ABL1:NM_005157(intron 2-intron 3)	630.814571428571
ABL1	chr9:133738124-133738444	320	0.476744083664561	0.163999309146005	119.782215164745	0.368805402276364	0.999862205672968	ABL1:NM_007313(intron 3-intron 4),ABL1:NM_005157(intron 3-intron 4)	475.020666666667
ABL1	chr9:133747416-133747696	280	0.443130103808072	0.142015272503794	105.175239857263	0.475546868843027	0.999862205672968	ABL1:NM_007313(intron 4-intron 5),ABL1:NM_005157(intron 4-intron 5)	263.4044
ABL1	chr9:133748214-133748454	240	0.365438759310705	0.0866638687337859	93.1572328882748	0.541022943669178	0.999862205672968	ABL1:NM_007313(intron 5-intron 6),ABL1:NM_005157(intron 5-intron 6)	271.4325
ABL1	chr9:133750225-133750465	240	0.426961930100633	0.0690350425072126	118.961540579898	0.399818856092658	0.999862205672968	ABL1:NM_007313(intron 6-intron 7),ABL1:NM_005157(intron 6-intron 7)	475.56375
ABL1	chr9:133753716-133754036	320	0.392513748576389	0.0880413642419216	132.551985398294	0.408443523057729	0.999862205672968	ABL1:NM_007313(intron 7-intron 8),ABL1:NM_005157(intron 7-intron 8)	569.008666666667
ABL1	chr9:133755358-133755638	280	0.504426497590251	0.0779974735164058	156.481901851938	0.307461639533809	0.999862205672968	ABL1:NM_007313(intron 8-intron 9),ABL1:NM_005157(intron 8-intron 9)	526.6766
ABL1	chr9:133755847-133756087	240	0.49137627897587	0.0851053792806646	126.190498084368	0.456539267575703	0.999862205672968	ABL1:NM_007313(intron 9-intron 10),ABL1:NM_005157(intron 9-intron 10)	199.388
ABL1	chr9:133759331-133761091	1760	0.279677936150417	0.127574112562404	440.173329691806	0.626869734123023	0.999862205672968	ABL1:NM_007313(intron 10-3' UTR ),ABL1:NM_005157(intron 10-3' UTR )	362.991714285714
ABL2	chr1:179076813-179078133	1320	0.0989793342264237	0.097598446142477	132.032034583697	0.809032570669763	0.999862205672968	ABL2:NM_001168238(3' UTR -intron 13),ABL2:NM_001168237(3' UTR -intron 14),ABL2:NM_001168236(3' UTR -exon 12),ABL2:NM_007314(3' UTR -exon 13),ABL2:NM_001136000(3' UTR -intron 14),ABL2:NM_001168239(3' UTR -intron 13),ABL2:NM_005158(3' UTR -exon 13)	512.740741935484
ABL2	chr1:179078253-179078613	360	0.225236784860184	0.0508029952552218	104.933278513594	0.641495530286368	0.999862205672968	ABL2:NM_001168238(intron 13-intron 12),ABL2:NM_001168237(intron 14-intron 13),ABL2:NM_001168236(exon 12-intron 12),ABL2:NM_007314(exon 13-intron 13),ABL2:NM_001136000(intron 14-intron 13),ABL2:NM_001168239(intron 13-intron 12),ABL2:NM_005158(exon 13-intron 13)	509.690142857143
ABL2	chr1:179079382-179079622	240	0.179767651045388	0.0416351416891565	59.5623418881559	0.725470997072746	0.999862205672968	ABL2:NM_001168238(intron 12-intron 11),ABL2:NM_001168237(intron 13-intron 12),ABL2:NM_001168236(intron 12-intron 11),ABL2:NM_007314(intron 13-intron 12),ABL2:NM_001136000(intron 13-intron 12),ABL2:NM_001168239(intron 12-intron 11),ABL2:NM_005158(intron 13-intron 12)	426.888
