Position	Probe	MeanCoverage
20:31019111-31019300	ASXL1+ASXL1_UserDefined_(33127262)_52950144.1	3225
20:31019379-31019567	ASXL1+ASXL1_UserDefined_(33127262)_52950145.1	4450
20:31018989-31019166	ASXL1+ASXL1_UserDefined_(33127262)_52950146.1	5017
20:31019249-31019432	ASXL1+ASXL1_UserDefined_(33127262)_52950147.1	2062
20:31016010-31016192	ASXL1+ASXL1_UserDefined_(33446036)_52950141.1	3864
20:31015888-31016063	ASXL1+ASXL1_UserDefined_(33446036)_52950142.1	2439
20:31016138-31016312	ASXL1+ASXL1_UserDefined_(33446036)_52950143.1	2458
20:31021058-31021227	ASXL1_Cds_16934697_UserDefined_(33446037)_52950793.1	16049
20:31021228-31021398	ASXL1_Cds_16934697_UserDefined_(33446037)_52950794.1	12943
20:31021432-31021617	ASXL1_Cds_16934697_UserDefined_(33446037)_52950795.1	4674
20:31021692-31021874	ASXL1_Cds_16934697_UserDefined_(33446037)_52950796.1	4974
20:31020950-31021120	ASXL1_Cds_16934697_UserDefined_(33446037)_52950797.1	8298
20:31021142-31021311	ASXL1_Cds_16934697_UserDefined_(33446037)_52950798.1	17224
20:31021318-31021488	ASXL1_Cds_16934697_UserDefined_(33446037)_52950799.1	7374
20:31021566-31021742	ASXL1_Cds_16934697_UserDefined_(33446037)_52950800.1	4871
20:30946576-30946764	ASXL1_Cds_16934829_UserDefined_(33127264)_52950148.1	995
20:30946452-30946625	ASXL1_Cds_16934829_UserDefined_(33127264)_52950149.1	506
20:31017220-31017390	ASXL1_Cds_16935406_UserDefined_(33446038)_52950801.1	2018
20:31017090-31017273	ASXL1_Cds_16935406_UserDefined_(33446038)_52950802.1	2586
20:31022232-31022404	ASXL1_Cds_16936954_UserDefined_(33127266)_52950150.1	6480
20:31022472-31022641	ASXL1_Cds_16936954_UserDefined_(33127266)_52950151.1	4674
20:31022678-31022848	ASXL1_Cds_16936954_UserDefined_(33127266)_52950152.1	6733
20:31022860-31023030	ASXL1_Cds_16936954_UserDefined_(33127266)_52950153.1	7491
20:31023054-31023223	ASXL1_Cds_16936954_UserDefined_(33127266)_52950154.1	14112
20:31023230-31023400	ASXL1_Cds_16936954_UserDefined_(33127266)_52950155.1	10157
20:31023420-31023589	ASXL1_Cds_16936954_UserDefined_(33127266)_52950156.1	7475
20:31023598-31023768	ASXL1_Cds_16936954_UserDefined_(33127266)_52950157.1	9270
20:31023802-31023971	ASXL1_Cds_16936954_UserDefined_(33127266)_52950158.1	9434
20:31023998-31024167	ASXL1_Cds_16936954_UserDefined_(33127266)_52950159.1	9876
20:31024174-31024344	ASXL1_Cds_16936954_UserDefined_(33127266)_52950160.1	6394
20:31024376-31024545	ASXL1_Cds_16936954_UserDefined_(33127266)_52950161.1	6870
20:31024612-31024781	ASXL1_Cds_16936954_UserDefined_(33127266)_52950162.1	9218
20:31024838-31025009	ASXL1_Cds_16936954_UserDefined_(33127266)_52950163.1	4710
20:31025078-31025258	ASXL1_Cds_16936954_UserDefined_(33127266)_52950164.1	2183
20:31022118-31022287	ASXL1_Cds_16936954_UserDefined_(33127266)_52950165.1	5460
20:31022356-31022525	ASXL1_Cds_16936954_UserDefined_(33127266)_52950166.1	2605
20:31022562-31022731	ASXL1_Cds_16936954_UserDefined_(33127266)_52950167.1	6401
20:31022770-31022939	ASXL1_Cds_16936954_UserDefined_(33127266)_52950168.1	6833
20:31022970-31023139	ASXL1_Cds_16936954_UserDefined_(33127266)_52950169.1	11804
20:31023142-31023311	ASXL1_Cds_16936954_UserDefined_(33127266)_52950170.1	13148
20:31023318-31023487	ASXL1_Cds_16936954_UserDefined_(33127266)_52950171.1	8938
20:31023506-31023675	ASXL1_Cds_16936954_UserDefined_(33127266)_52950172.1	8834
20:31023712-31023881	ASXL1_Cds_16936954_UserDefined_(33127266)_52950173.1	8693
20:31023910-31024079	ASXL1_Cds_16936954_UserDefined_(33127266)_52950174.1	10652
20:31024090-31024260	ASXL1_Cds_16936954_UserDefined_(33127266)_52950175.1	8816
20:31024290-31024459	ASXL1_Cds_16936954_UserDefined_(33127266)_52950176.1	6384
20:31024496-31024666	ASXL1_Cds_16936954_UserDefined_(33127266)_52950177.1	8428
20:31024728-31024897	ASXL1_Cds_16936954_UserDefined_(33127266)_52950178.1	7930
20:31024958-31025132	ASXL1_Cds_16936954_UserDefined_(33127266)_52950179.1	5756
20:30956888-30957062	ASXL1_Cds_16937472_UserDefined_(33446039)_52950803.1	4851
20:30956772-30956943	ASXL1_Cds_16937472_UserDefined_(33446039)_52950804.1	3441
20:31020760-31020948	ASXL1_Cds_16937713_UserDefined_(33127268)_52950180.1	2648
20:31020636-31020812	ASXL1_Cds_16937713_UserDefined_(33127268)_52950181.1	3598
20:31017797-31017977	ASXL1_Cds_16937823_UserDefined_(33446040)_52950805.1	4746
20:31017661-31017845	ASXL1_Cds_16937823_UserDefined_(33446040)_52950806.1	2398
20:30954140-30954326	ASXL1_Cds_16938447_UserDefined_(33127270)_52950182.1	3427
20:30959920-30960090	ASXL1_Cds_16938737_UserDefined_(33446041)_52950807.1	2599
11:119146790-119146960	CBL_exon_6_Cds_16743449_UserDefined_(33369617)_52950239.1	2798
11:119146672-119146844	CBL_exon_6_Cds_16743449_UserDefined_(33369617)_52950240.1	3428
11:119148434-119148610	CBL_exon_7_Cds_16740907_UserDefined_(33446047)_52950241.1	1096
11:119148911-119149094	CBL_exon_8_Cds_16741577_UserDefined_(33369618)_52950242.1	1687
11:119148789-119148967	CBL_exon_8_Cds_16741577_UserDefined_(33369618)_52950243.1	1461
11:119149311-119149489	CBL_exon_9_Cds_16740979_UserDefined_(33446048)_52950244.1	1986
11:119149185-119149363	CBL_exon_9_Cds_16740979_UserDefined_(33446048)_52950245.1	2294
1:36932166-36932346	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950218.1	4109
1:36932412-36932590	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950219.1	5339
1:36932038-36932217	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950220.1	1855
1:36932296-36932466	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950221.1	8700
1:36933516-36933697	CSF3R_Exon_15_Cds_16655330_UserDefined_(33369620)_52950196.1	1912
1:36933390-36933561	CSF3R_Exon_15_Cds_16655330_UserDefined_(33369620)_52950197.1	7882
1:36933160-36933341	CSF3R_Exon_17_Cds_16657377_UserDefined_(33446050)_52950235.1	3175
2:25466740-25466911	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950467.1	7616
2:25466934-25467105	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950468.1	13960
