Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Gene_Score	Pvalue	B-H_Pvalue	Transcripts
ABCB1	chr7:87138523-87160736	480	-0.0875282012247974	0.169345551887448	42.0135365879028	0.365980976131281	0.825647044253758	ABCB1:NM_000927
ABCC4	chr13:95815293-95815533	240	-0.338220353350395	0.0602966355772004	81.1728848040947	0.118332235954866	0.689561444086302	ABCC4:NM_001105515,ABCC4:NM_005845
ABCG2	chr4:89052201-89052441	240	0.0616420540726882	0.0775961038091286	14.7940929774452	0.449245332229474	0.885398404599302	ABCG2:NM_001257386,ABCG2:NM_004827
ABL1	chr9:133589613-133761091	4840	0.0811113647978283	0.110862369677312	392.579005621489	0.564734875608033	0.897427437110973	ABL1:NM_007313,ABL1:NM_005157
ABL2	chr1:179076813-179198612	5280	-0.0208359251300866	0.161217806291508	110.013684686857	0.451463483603505	0.834620135069343	ABL2:NM_001168238,ABL2:NM_001168237,ABL2:NM_001168236,ABL2:NM_007314,ABL2:NM_001136001,ABL2:NM_001136000,ABL2:NM_001168239,ABL2:NM_005158
AKT1	chr14:105236596-105259076	3680	0.0923920628911423	0.145202589767507	340.002791439404	0.527421107707257	0.883789990402846	AKT1:NM_001014432,AKT1:NM_005163,AKT1:NM_001014431
AKT2	chr19:40736199-40791295	7440	0.0733228074717942	0.150455502338307	545.521687590149	0.55493543783073	0.881049803723531	AKT2:NM_001243028,AKT2:NM_001626,AKT2:NM_001243027,MIR641:NR_030371
AKT3	chr1:243651502-244006648	4040	-0.17398728965326	0.204348303714549	702.908650199169	0.415094919416618	0.782392424097208	AKT3:NM_001206729,AKT3:NM_005465,SDCCAG8:NM_006642,AKT3:NM_181690
ALK	chr2:29415574-30144527	10290	0.0896578540191777	0.12872714484009	922.579317857339	0.471021412774962	0.858907069891411	ALK:NM_004304
APC	chr5:112043375-112179855	11000	-0.0104928189285969	0.14612931603881	115.421008214566	0.499590147726028	0.856496743231857	APC:NM_001127511,APC:NM_001127510,APC:NM_000038
AR	chrX:66764956-66943725	3600	0.0856889795779909	0.172688759673545	308.480326480767	0.540644095542276	0.880347891949263	AR:NM_000044,AR:NM_001011645
ASXL1	chr20:30946485-31025166	6680	0.0384890607818757	0.185027773164932	257.10692602293	0.493624575797635	0.853514265871925	ASXL1:NM_015338,ASXL1:NM_001164603
ATM	chr11:108098282-108236262	17320	-0.105907862975921	0.18691295149846	1834.32418674295	0.380806070574616	0.803541626615496	ATM:NM_000051
ATRX	chrX:76760292-77041811	15885	-0.0693127497443993	0.189489645832716	1101.03302968978	0.484383583168302	0.846386489527086	ATRX:NM_138270,ATRX:NM_000489
AURKA	chr20:54945183-54963351	2160	-0.0811779923904299	0.16226544997478	175.344463563329	0.477360237574062	0.851139024378033	AURKA:NM_198436,AURKA:NM_003600,AURKA:NM_198435,AURKA:NM_198434,AURKA:NM_198433,AURKA:NM_198437
AURKB	chr17:8108154-8113637	2120	0.0265773957287944	0.13301977269273	56.3440789450441	0.488079102618976	0.870652174852457	AURKB:NM_004217,AURKB:NM_001284526,AURKB:NM_001256834
AXL	chr19:41725043-41767724	7819	0.000201882150390992	0.120313839044355	1.57851653390717	0.62915409448855	0.918532812626518	AXL:NM_021913,AXL:NM_001278599,AXL:NM_001699
BAK1	chr6:33541490-33545465	1400	0.00240472925034626	0.147058123563553	3.36662095048476	0.56696930039517	0.897087649564055	BAK1:NM_001188
BAP1	chr3:52436209-52443975	4880	0.125094018035652	0.135647551893288	610.45880801398	0.483548139825272	0.864664034875849	BAP1:NM_004656
BARD1	chr2:215590311-215674485	7069	-0.0648444489240245	0.156523204047537	458.385409443929	0.457756995299359	0.855476697233183	BARD1:NM_000465,BARD1:NM_001282549,BARD1:NM_001282548,BARD1:NM_001282543,BARD1:NM_001282545,BARD1:NR_104212,BARD1:NR_104215,BARD1:NR_104216
BCL2	chr18:60795763-60985929	1000	0.0675484616742237	0.18251280950432	67.5484616742237	0.327376244429769	0.802641684994952	BCL2:NM_000633,BCL2:NM_000657
BCL2L11	chr2:111881298-111921897	5880	0.0336447520369496	0.153618084418024	197.831141977264	0.425659740167841	0.826704614057472	BCL2L11:NM_001204113,BCL2L11:NM_207003,BCL2L11:NM_207002,BCL2L11:NM_001204112,BCL2L11:NM_006538,BCL2L11:NM_001204111,BCL2L11:NM_001204107,BCL2L11:NM_001204106,BCL2L11:NM_001204109,BCL2L11:NM_001204108,BCL2L11:NM_138627,BCL2L11:NM_138626,BCL2L11:NM_138625,BCL2L11:NM_138624,BCL2L11:NM_138623,BCL2L11:NM_138622,BCL2L11:NM_138621,BCL2L11:NM_001204110
BCOR	chrX:39911326-39937278	6760	0.0983763696170349	0.145941512151374	665.024258611156	0.390172736828374	0.80173675684609	BCOR:NM_001123384,BCOR:NM_001123383,BCOR:NM_001123385,BCOR:NM_017745
BCR	chr22:23615791-23634863	1280	0.163740430837564	0.204414971831234	209.587751472082	0.424876818110975	0.812370274855148	BCR:NM_004327,BCR:NM_021574
BRAF	chr7:140434362-140624593	5223	-0.093312142322996	0.181729355275729	487.369319353008	0.456975207253351	0.83147656314341	BRAF:NM_004333
