GENES FAILING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
C1orf144		1e+38	0	0	0	0	0
CEBPA	chr19	33790839	33793470	37.36	34.2085219631015	0.0212432983712611	1.46342237683797
MLL		1e+38	0	0	0	0	0
MYCL1		1e+38	0	0	0	0	0
NKX2-1	chr14	36985603	36989430	47.5521666666667	29.9385066395362	0.00017938621183014	0.225267517235535
SLC19A1	chr21	46934628	46962385	45.49175	6.00220052876443	-0.532593420315327	0.142353168057759
SOD2	chr6	160100148	160114353	30.4355	3.97790777293793	-0.608055174120687	0.068922334994422


GENES PASSING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
ABCB1	chr7	87133178	87342639	146.125	20.4237219796001	0.0284809511795081	0.182826725409504
ABCC4	chr13	95672082	95953687	102.525	10.5354159386329	-0.0604176025788905	0.0919582881321733
ABCG2	chr4	89011415	89152474	148.9395	13.8985111702657	-0.109138528691525	0.0638756825139882
ABL1	chr9	133589267	133763062	127.577412371134	45.2783586003434	-0.167335172605273	0.1809951093934
ABL2	chr1	179068461	179198819	162.986158415842	29.8990204540804	-0.0567830740904527	0.177611496833076
AKT1	chr14	105235686	105262080	92.8926875	34.7049384516612	-0.249379885194111	0.183521037811831
AKT2	chr19	40736223	40791302	112.426545454546	44.161623364885	-0.203195909351025	0.292097234831042
AKT3	chr1	243651534	244006886	145.995309523809	42.0451095061997	0.145679334038133	0.243890378036387
ALK	chr2	29415639	30144477	171.897418181818	35.028888625191	-0.0699820368702507	0.212512058124735
APC	chr5	112043201	112181936	182.900181069959	38.3597934147615	0.0799664776593635	0.215971306874716
AR	chrX	66763873	66950461	126.551459459459	44.7025964280658	-0.116912204025734	0.22890611072194
ASXL1	chr20	30946146	31027122	173.940352517986	52.9479111462032	-0.140755068176366	0.283082322022624
ATM	chr11	108093558	108239826	149.291403908795	35.1261546889351	0.22863688067879	0.262349972095773
AURKA	chr20	54944444	54967351	147.473421052632	21.8819043006479	0.117664756871753	0.241317995073268
AURKB	chr17	8108048	8113944	123.795	34.47254118782	-0.188241110257067	0.133948540584856
BAK1	chr6	33540322	33548070	113.73536	29.0583990224926	-0.203597517677578	0.160132182040644
BAP1	chr3	52435019	52444121	112.766162790698	42.8491033307882	-0.220652147440604	0.237706990982176
BCL2	chr18	60790578	60986613	113.210666666667	43.4455085073281	0.0281669707505683	0.280305150778614
BCL2L11	chr2	111878490	111926022	176.623062068966	39.1831780324195	0.0982531561064499	0.224303466614486
BCOR	chrX	39910498	40036582	159.38823943662	42.3654546594988	-0.100360040118773	0.163251351456042
BCR	chr22	23522551	23660224	148.061619469027	45.4078232172945	-0.11194619292965	0.161731075867985
BRAF	chr7	140433812	140624564	140.145173913043	51.0740753572709	0.0657389321809766	0.363944041776972
BRCA1	chr17	41196311	41277500	169.896289617486	37.2155529094859	0.054007656124997	0.19441478106839
BRCA2	chr13	32889616	32973809	165.97551056338	37.5338154584584	0.196949871823955	0.209967140206704
CBLB	chr3	105377108	105587887	151.11687254902	34.6985310057118	0.114585188692851	0.227499040677644
CBL	chr11	119076985	119178859	162.189164835165	40.2091112793348	0.0233530759033643	0.203664411491796
CCND1	chr11	69455872	69469242	83.53496	26.2184306036498	-0.209835048088788	0.19650321544223
CCNE1	chr19	30302900	30315215	164.625132352941	46.1607865868934	-0.0173906861222491	0.197820636943631
CDH1	chr16	68771194	68869444	156.566223529412	59.912317013405	-0.0847615312463827	0.363412512572682
CDK4	chr12	58141509	58146230	165.714022727273	53.430769720558	-0.130105235493712	0.16853362736369
CDK6	chr7	92234234	92465941	142.529166666667	46.1720218948782	-0.0481649855353939	0.217985901366483
CDK8	chr13	26828755	26978569	153.817545454545	45.4503534036938	0.205549967984876	0.258121962357421
CDKN2A	chr9	21967750	21994490	77.3552592592593	55.6089624854714	-0.396852395889928	0.389607353753835
CHEK1	chr11	125495030	125546150	151.24661627907	41.3725844604148	0.214336117568013	0.243059593105687
CHEK2	chr22	29083730	29137822	133.747987012987	37.795435289729	0.042404792917602	0.215667000020769
CREBBP	chr16	3775055	3930121	117.027333333333	48.6792533052003	-0.104427621676365	0.230952028987395
CRLF2	chrX	1314886	1325338	209.750444444444	37.8229260652293	-0.0234906689737394	0.2052051055734
CSF1R	chr5	149432853	149492935	105.749155963303	37.8890804254925	-0.226569589809774	0.168150969931251
CTNNB1	chr3	41240941	41281939	166.202773333333	38.9287334769827	0.00586766630000935	0.145337637286896
CYP1B1	chr2	38294745	38303323	123.352	10.7463516832458	-0.372652446402828	0.0454977841396606
CYP2C8	chr10	96796528	96829254	139.058375	18.260593606435	-0.0843157861526421	0.169337296524986
CYP2D6	chr22	42522500	42526883	82.8391818181818	33.660337168097	-0.253036253072519	0.173336510019757
CYP3A4	chr7	99354582	99381811	156.089333333333	30.4501744233543	0.0102003405801956	0.371154359514772
CYP3A5	chr7	99245812	99277621	153.158333333333	18.9741891101804	-0.0407886451681858	0.104419555819635
DDR2	chr1	162602227	162750247	162.916397590361	36.3011199239567	-0.0507499716534804	0.164451624113602
DNMT3A	chr2	25455829	25565459	105.281512605042	45.9819279768512	-0.2724414724397	0.303379008112849
DPYD	chr1	97543299	98386615	133.383875	17.069848863841	-0.00860820372276413	0.184975098344596
EGFR	chr7	55086724	55275031	138.542727272727	41.2924416946666	-0.114541617825434	0.166191921051028
EIF3A	chr10	120794540	120840334	157.396330578512	40.5144070986097	-0.0186981016223809	0.21844261402434
