GENES FAILING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
C1orf144		1e+38	0	0	0	0	0
CYP2C19	chr10	96522462	96612671	0	0	0	0
MYCL1		1e+38	0	0	0	0	0
NKX2-1	chr14	36985603	36989430	49.5168387096774	33.1203918650816	0.0458180246568551	0.665418074564586
SLC19A1	chr21	46934628	46962385	42.7855	3.95886034737271	-0.213137292659794	0.0635284619061455
TYMS	chr18	657603	673499	42.99975	39.6460826903176	-0.604502000607375	0.225506986103496


GENES PASSING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
ABCB1	chr7	87133178	87342639	174.291625	55.847989650339	0.0629992058712875	0.203425380339815
ABCC4	chr13	95672082	95953687	60.025	8.59435538594955	-0.739848167333569	0.063613318989
ABCG2	chr4	89011415	89152474	180.579	27.9056020331641	-0.193427929714954	0.113201506458294
ABL1	chr9	133589267	133763062	179.305948453608	63.6369990294292	0.262414506004972	0.24959071784797
ABL2	chr1	179068461	179198819	187.904654205607	65.5116412312015	0.0414285523103646	0.227857391928577
AKT1	chr14	105235686	105262080	123.106546875	53.2403358146251	0.369720470096156	0.164579875156962
AKT2	chr19	40736223	40791302	152.551227848101	66.3500590226001	0.237068823610987	0.224705693424334
AKT3	chr1	243651534	244006886	165.810238095238	77.7397441113544	-0.216703866306221	0.318419555966677
ALK	chr2	29415639	30144477	191.664498023715	68.5443231283778	0.186175674982341	0.237216873916022
APC	chr5	112043201	112181936	218.391806584362	71.5305951411172	-0.0843072020446961	0.274298596276436
AR	chrX	66763873	66950461	170.304378378378	61.4986410541361	0.179621261751407	0.318051866068018
ASXL1	chr20	30946146	31027122	229.42645	80.5829816741125	0.0917652104303324	0.211542915098109
ATM	chr11	108093558	108239826	138.686358306189	47.8271563850302	-0.228686062516385	0.30456639033658
ATRX	chrX	76760355	77041755	157.02668902439	62.3323215225055	-0.178724285608748	0.273103747711467
AURKA	chr20	54944444	54967351	157.236184210526	45.134744554416	-0.0138352600572327	0.194091916517351
AURKB	chr17	8108048	8113944	180.615783783784	44.8867853340928	0.177828956963295	0.194787666279122
AXL	chr19	41725103	41767672	169.951850649351	77.8095802214864	0.0844048536466213	0.195053993754177
BAK1	chr6	33540322	33548070	156.57436	52.8754991896095	0.187560493174365	0.166156152659362
BAP1	chr3	52435019	52444121	154.627220930233	61.0923748114472	0.26933323115284	0.228010985006647
BARD1	chr2	215590369	215674435	159.374193548387	62.8296700681984	-0.137618297147809	0.232014215361639
BCL2	chr18	60790578	60986613	167.706333333333	60.8296468910423	0.203735135451302	0.195708381326411
BCL2L11	chr2	111878490	111926022	212.812751677852	67.9571370220003	-0.0120948903047968	0.224722080106498
BCOR	chrX	39910498	40036582	223.785422535211	73.3812075898359	0.147465271897514	0.217750957683312
BCR	chr22	23522551	23660224	220.700109144543	82.7977956910736	0.280570662302866	0.23204467656757
BRAF	chr7	140433812	140624564	150.68658313253	90.3980571673742	-0.177511971579185	0.388081363937687
BRCA1	chr17	41196311	41277500	206.729327868852	77.0794755743801	-0.147356028228177	0.245210627150353
BRCA2	chr13	32889616	32973809	173.207588028169	59.2829757912403	-0.136757833030821	0.24094862082731
BRIP1	chr17	59756546	59940920	149.789296460177	63.3699865308917	-0.128409421038838	0.359021692572932
CALR	chr19	13049413	13055304	203.576322580645	92.5060460037655	0.141763134473502	0.139905625075723
CBL	chr11	119076985	119178859	188.093307692308	62.7696695313123	-0.0450287953287345	0.230972926687894
CBLB	chr3	105377108	105587887	148.095225490196	55.0367481132427	-0.164179972092364	0.199444119365275
CCND1	chr11	69455872	69469242	102.22704	26.7880188375027	0.282007320677008	0.163575051616351
CCNE1	chr19	30302900	30315215	226.242941176471	78.5094235278352	-0.00908948527576207	0.151065345058079
CDH1	chr16	68771194	68869444	208.680235955056	78.083082641709	0.0377712607049204	0.207870662331524
CDK4	chr12	58141509	58146230	213.715704545454	74.4128125785105	0.109601629688856	0.214515733997291
CDK6	chr7	92234234	92465941	150.722194444444	57.8778042482702	0.00349060365444372	0.200525825311832
CDK8	chr13	26828755	26978569	152.800378787879	60.2964449024291	-0.276145132687116	0.399875982991542
CDKN1A	chr6	36644236	36655116	212.702957142857	46.349514687068	0.19737066845377	0.259876790790523
CDKN2A	chr9	21967750	21994490	126.103740740741	96.4834978389003	0.00134989728565946	0.285402418155365
CEBPA	chr19	33790839	33793470	58.0495217391304	67.1070747179912	-0.660428617517401	0.861325386542405
CHD1	chr5	98190907	98262238	117.578796208531	57.3349180865522	-0.337931827306034	0.312451082090946
CHEK1	chr11	125495030	125546150	154.865581395349	64.6605777104414	-0.113510772489999	0.413127436615598
CHEK2	chr22	29083730	29137822	149.91061038961	55.5730108009685	-0.0313231163622034	0.194451575562135
CREBBP	chr16	3775055	3930121	148.594884259259	54.63413676135	0.12520737989644	0.282489940083644
CRLF2	chrX	1314886	1325338	290.455555555556	58.0039233512338	-0.10117475512717	0.206110268583115
CSF1R	chr5	149432853	149492935	149.510981651376	54.8529634988409	0.323398635533315	0.21583089431377
CTNNB1	chr3	41240941	41281939	197.76312	55.1185507605706	0.017606612457982	0.200108346881856
CYP1B1	chr2	38294745	38303323	215.4855	11.9573831898957	0.262624854108684	0.134996795726402
CYP2C8	chr10	96796528	96829254	147.5603125	25.217346281178	-0.0943585371946365	0.148141985105374
CYP2D6	chr22	42522500	42526883	108.492393939394	35.9405835688439	0.338630598456527	0.163173140576403
CYP3A4	chr7	99354582	99381811	165.619047619048	37.8383313276947	-0.144102559815214	0.240639550177236
CYP3A5	chr7	99245812	99277621	174.836916666667	28.1093484344572	0.0422830044039975	0.160035911551823
DAXX	chr6	33286334	33290793	201.430123287671	57.4717716250728	0.188838107913771	0.172924024581639
DDR2	chr1	162602227	162750247	211.82921686747	60.6928333041315	0.00613996768829281	0.185323562232968
DEPDC5	chr22	32149936	32303020	175.295219008264	51.1569559538932	0.0580817411840748	0.241678692446114
DNAJB1	chr19	14625581	14629201	228.739426966292	70.0263157808561	0.0593632269680729	0.153486739198058
DNMT3A	chr2	25455829	25565459	141.357243697479	66.084811435152	0.264009269093996	0.229196181829866
DOCK7	chr1	62920396	63154039	125.030328571429	53.0674124053471	-0.307584083578268	0.315862551085452
DPYD	chr1	97543299	98386615	152.842125	71.1212331751141	-0.314976065830272	0.42812851475856
EGFR	chr7	55086724	55275031	176.239123376623	53.2834837102733	0.0309787066583032	0.24530089720467
EIF3A	chr10	120794540	120840334	200.210702479339	86.2291823902825	-0.087963270024018	0.223339390160261
EML4	chr2	42396489	42559688	166.775829810901	75.6949147294355	-0.144610015069324	0.328569624244752
EPHA3	chr3	89156673	89531284	184.678979591837	60.2515515019102	-0.118837063712374	0.189697670858779
EPHA5	chr4	66185280	66536213	156.037155339806	50.5531114555766	-0.083335652700822	0.290136101106703
EPHB2	chr1	23037330	23241823	172.405891304348	42.9518521186569	0.312809144973855	0.192468781696705
EPHB6	chr7	142552775	142568847	143.384845360825	54.6909303360011	0.401245496239874	0.206001282016485
ERBB2	chr17	37844336	37884915	156.109169117647	67.6827010169463	0.303339174601388	0.241897560933552
ERBB3	chr12	56473808	56497291	218.667052287582	65.074424027973	0.082245520953044	0.187588324308096
