gene1	chrom1	region1	gene2	chrom2	region2	notes
ALK	chr2	29415639-30144477	A2M	chr12	9220303-9268558	Quiver:ALK-A2M
ALK	chr2	29415639-30144477	ATIC	chr2	216176678-216214496	Quiver:ALK-ATIC
ALK	chr2	29415639-30144477	C2orf44	chr2	24252205-24270296	Quiver:ALK-C2orf44
ALK	chr2	29415639-30144477	CAD	chr2	27440257-27466654	Quiver:ALK-CAD
ALK	chr2	29415639-30144477	CARS	chr11	3022151-3078681	Quiver:ALK-CARS
ALK	chr2	29415639-30144477	CLIP1	chr12	122755980-122907116	Quiver:ALK-CLIP1
ALK	chr2	29415639-30144477	CLIP4	chr2	29338307-29406679	Quiver:ALK-CLIP4
ALK	chr2	29415639-30144477	CLTC	chr17	57697049-57774317	Quiver:ALK-CLTC
ALK	chr2	29415639-30144477	CLTCL1	chr22	19166986-19279239	Quiver:ALK-CLTCL1
ALK	chr2	29415639-30144477	DCTN1	chr2	74588280-74619214	Quiver:ALK-DCTN1
ALK	chr2	29415639-30144477	DDX6	chr11	118618472-118661972	Quiver:ALK-DDX6
ALK	chr2	29415639-30144477	EML4	chr2	42396489-42559688	Quiver:ALK-EML4
ALK	chr2	29415639-30144477	FN1	chr2	216225178-216300791	Quiver:ALK-FN1
ALK	chr2	29415639-30144477	GALNT14	chr2	31133330-31361592	Quiver:ALK-GALNT14
ALK	chr2	29415639-30144477	GTF2IRD1	chr7	73868119-74016920	Quiver:ALK-GTF2IRD1
ALK	chr2	29415639-30144477	GTF3C2	chr2	27548715-27579901	Quiver:ALK-GTF3C2
ALK	chr2	29415639-30144477	HIP1	chr7	75162618-75368290	Quiver:ALK-HIP1
ALK	chr2	29415639-30144477	HOOK1	chr1	60280532-60342050	Quiver:ALK-HOOK1
ALK	chr2	29415639-30144477	IGFBP5	chr2	217536827-217560272	Quiver:ALK-IGFBP5
ALK	chr2	29415639-30144477	KIF5B	chr10	32297937-32345371	Quiver:ALK-KIF5B
ALK	chr2	29415639-30144477	KLC1	chr14	104095524-104167888	Quiver:ALK-KLC1
ALK	chr2	29415639-30144477	LMNA	chr1	156052336-156107657	Quiver:ALK-LMNA
ALK	chr2	29415639-30144477	MSN	chrX	64887510-64961793	Quiver:ALK-MSN
ALK	chr2	29415639-30144477	MYH9	chr22	36677322-36784063	Quiver:ALK-MYH9
ALK	chr2	29415639-30144477	NPM1	chr5	170814707-170837888	Quiver:ALK-NPM1
ALK	chr2	29415639-30144477	PPFIBP1	chr12	27677044-27848497	Quiver:ALK-PPFIBP1
ALK	chr2	29415639-30144477	PRKAR1A	chr17	66409763-66529570	Quiver:ALK-PRKAR1A
ALK	chr2	29415639-30144477	PTPN3	chr9	112137973-112260593	Quiver:ALK-PTPN3
ALK	chr2	29415639-30144477	RANBP2	chr2	109335936-109402267	Quiver:ALK-RANBP2
ALK	chr2	29415639-30144477	RNF213	chr17	78234659-78372581	Quiver:ALK-RNF213
ALK	chr2	29415639-30144477	SCEL	chr13	78109808-78219398	Quiver:ALK-SCEL
ALK	chr2	29415639-30144477	SEC31A	chr4	83739813-83812419	Quiver:ALK-SEC31A
ALK	chr2	29415639-30144477	SMEK2	chr2	55774427-55844860	Quiver:ALK-SMEK2
ALK	chr2	29415639-30144477	SOCS5	chr2	46926098-46989927	Quiver:ALK-SOCS5
