GENES FAILING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
C1orf144		1e+38	0	0	0	0	0
CEBPA	chr19	33790839	33793470	46.2484615384615	45.0381249201767	0.00998036435085933	0.564429347436205
CYP2C19	chr10	96522462	96612671	0	0	0	0
ESR2	chr14	64693750	64805268	43.6335	2.45265106568382	-0.433931201443577	0.150028767676093
FGFR3	chr4	1795038	1810599	43.7926263736264	24.2355854649199	-0.698964418378927	0.361287838288242
H3F3A	chr1	226250407	226259703	36.7266774193548	18.9695094693786	-0.935280313855973	0.684772475972512
MYCL1		1e+38	0	0	0	0	0
NKX2-1	chr14	36985603	36989430	31.4115483870968	18.7092694652966	-0.489447516725472	0.34063423388428
SLC19A1	chr21	46934628	46962385	37.5935	5.65747454700417	-0.137539145715985	0.0997801490205493
SOD2	chr6	160100148	160114353	19.35625	2.89381749381332	-1.22079131654743	0.425318635899002


GENES PASSING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
ABCB1	chr7	87133178	87342639	215.75525	47.4091411273976	0.307954785643101	0.179449922231364
ABCC4	chr13	95672082	95953687	143.656	25.5045993303169	0.34847611645757	0.147170838996578
ABCG2	chr4	89011415	89152474	227.881166666667	33.2153662878928	-0.0987463220003225	0.0742601066308266
ABL1	chr9	133589267	133763062	247.308845360825	101.340815272676	0.355130876186471	0.144473522146854
ABL2	chr1	179068461	179198819	265.254074766355	89.8820802458505	0.206027825649389	0.152930406542974
AKT1	chr14	105235686	105262080	132.60059375	51.4748863645294	0.234463412934794	0.215862805660018
AKT2	chr19	40736223	40791302	139.805303797468	72.5064497165779	-0.194550987808692	0.214754795368196
AKT3	chr1	243651534	244006886	254.518428571429	113.66406018492	0.29523104657603	0.18923573211722
ALK	chr2	29415639	30144477	237.261355731225	95.0473579722752	0.142987130842281	0.183421142395104
APC	chr5	112043201	112181936	325.695209876543	103.166704545842	0.25020074738496	0.158064205413425
AR	chrX	66763873	66950461	735.470283783784	305.287950621214	1.59335512674441	0.158182826892666
ASXL1	chr20	30946146	31027122	300.071807142857	104.060693930918	0.17106722236832	0.174597011044035
ATM	chr11	108093558	108239826	216.079094462541	73.71233155931	0.297536864328171	0.176884549254119
ATRX	chrX	76760355	77041755	129.498225609756	52.6887661569734	-0.497876444056112	0.188175501779029
AURKA	chr20	54944444	54967351	222.524105263158	64.016126057913	0.215693797734994	0.144687974853505
AURKB	chr17	8108048	8113944	108.25672972973	31.1340042411688	-0.728337453607348	0.200116835590059
AXL	chr19	41725103	41767672	166.89975974026	81.7699374911856	-0.129428383658206	0.239443339941518
BAK1	chr6	33540322	33548070	93.05332	37.2355888179253	-0.722035852875742	0.196730810997719
BAP1	chr3	52435019	52444121	184.097872093023	80.8035646395652	0.202944722096601	0.188329387387304
BARD1	chr2	215590369	215674435	234.939329032258	98.2238699298771	0.242282856409669	0.21146928778768
BCL2	chr18	60790578	60986613	54.6984285714286	23.9664215827685	-1.61977326992739	0.194066270243823
BCL2L11	chr2	111878490	111926022	222.548765100671	71.3031784687765	-0.102221887064778	0.217530225293564
BCOR	chrX	39910498	40036582	223.187288732394	74.7842072586449	-0.157293418363906	0.1763998098459
BCR	chr22	23522551	23660224	132.719238938053	56.4077776046871	-0.694301376702049	0.204627938514565
BRAF	chr7	140433812	140624564	242.859718072289	139.314860198371	0.438921953749216	0.325924082101783
BRCA1	chr17	41196311	41277500	323.115480874317	110.705918175992	0.287670014228457	0.136523396137288
BRCA2	chr13	32889616	32973809	197.400028169014	65.1556029596413	-0.0392896760270948	0.169819444528966
BRIP1	chr17	59756546	59940920	169.719101769911	76.5707183434453	-0.00949196865632717	0.340288804025846
CALR	chr19	13049413	13055304	256.858983870968	122.631941278073	0.121192888801355	0.206647083152028
CBL	chr11	119076985	119178859	283.355417582417	88.7993868535244	0.268526012779739	0.179566626423904
CBLB	chr3	105377108	105587887	236.79231372549	81.7718621239317	0.325297482160076	0.174648443602621
CCND1	chr11	69455872	69469242	108.9242	28.7966175499832	0.239690277397512	0.250396654089772
CCNE1	chr19	30302900	30315215	159.544779411765	59.4392425815801	-0.670110963863538	0.193754340793142
CDH1	chr16	68771194	68869444	223.550359550562	84.1395999113468	-0.0726565386891877	0.257840296536982
CDK4	chr12	58141509	58146230	208.2245	81.739728748827	-0.166414392268417	0.171234113115381
CDK6	chr7	92234234	92465941	208.171	87.2202931114339	0.213337966899091	0.207626228506614
CDK8	chr13	26828755	26978569	189.515575757576	85.3020403445382	-0.0652747934813611	0.248640225544573
CDKN1A	chr6	36644236	36655116	130.5505	46.117218618197	-0.85808251028859	0.174634172182931
CDKN2A	chr9	21967750	21994490	83.9182962962963	65.5339009808211	-0.592271004412993	0.270975887270295
CHD1	chr5	98190907	98262238	100.315966824645	48.225017204686	-0.510249769195342	0.239396135933068
CHEK1	chr11	125495030	125546150	225.414662790698	83.9101791475405	0.279846785194068	0.192421632109172
CHEK2	chr22	29083730	29137822	110.500194805195	43.0956708104006	-0.537694161174271	0.194795560725078
CREBBP	chr16	3775055	3930121	249.660347222222	100.317981782628	0.500938504942473	0.224021616381869
CRLF2	chrX	1314886	1325338	441.639277777778	84.47052156805	0.199042930580939	0.105422126574229
CSF1R	chr5	149432853	149492935	175.098	83.9846033469198	0.232895782657217	0.176726299327436
CTNNB1	chr3	41240941	41281939	298.79532	85.3321736077173	0.292581531801624	0.107590445899704
CYP1B1	chr2	38294745	38303323	268.05825	28.1190195630555	0.116210052501743	0.106447185252629
CYP2C8	chr10	96796528	96829254	114.0703125	22.7664040329131	-0.585729343155263	0.139249369568732
CYP2D6	chr22	42522500	42526883	80.4444545454545	30.1350322212406	-0.342410528399403	0.197055147083751
CYP3A4	chr7	99354582	99381811	168.056380952381	27.8440982008177	-0.281710265486541	0.122777276625062
CYP3A5	chr7	99245812	99277621	163.988916666667	36.7547324038196	-0.244240821764331	0.0560355959354682
DAXX	chr6	33286334	33290793	120.570890410959	36.1079420518654	-0.751741035759853	0.190453629357445
DDR2	chr1	162602227	162750247	313.782915662651	98.8764361896767	0.299405266771417	0.136568404767324
DEPDC5	chr22	32149936	32303020	125.989462809917	40.5495183714641	-0.611219871489835	0.179606937618765
DNAJB1	chr19	14625581	14629201	367.307168539326	128.799525513139	0.330519967367598	0.163429031607697
DNMT3A	chr2	25455829	25565459	165.052394957983	94.6229733083777	0.154082657833421	0.217309952718259
DOCK7	chr1	62920396	63154039	160.102825	63.9366775324401	0.0113473203565357	0.201778551193854
DPYD	chr1	97543299	98386615	193.130828125	84.2000195606089	0.0414408879832313	0.267641389052872
EGFR	chr7	55086724	55275031	63.7068311688312	23.337364333541	-1.54159096809795	0.192113054864489
EIF3A	chr10	120794540	120840334	149.241380165289	59.1733374855415	-0.619541299534107	0.194251899440909
EML4	chr2	42396489	42559688	254.03059621802	111.915569843381	0.369702231850797	0.282722328289912
EPHA3	chr3	89156673	89531284	294.382051020408	92.2994560671585	0.32841959782175	0.163483935497151
EPHA5	chr4	66185280	66536213	186.659475728155	65.2608355136427	-0.00642830214904592	0.175307173085667
EPHB2	chr1	23037330	23241823	144.216869565217	39.7411385616799	-0.205055765753232	0.162380281041475
EPHB6	chr7	142552775	142568847	165.594103092784	79.3940730399043	0.227279948425742	0.191472092523817
ERBB2	chr17	37844336	37884915	180.507757352941	86.8360167898037	0.197772001730416	0.211406937053714
ERBB3	chr12	56473808	56497291	227.261150326797	72.0049711576137	-0.144040616711403	0.166804986442506
ERBB4	chr2	212240441	213403352	241.213825503356	74.4956385857932	0.289227518669295	0.202235643653516
ERCC2	chr19	45854648	45873845	125.25025	22.9643637879977	-0.248886199837506	0.071922376076857
ESR1	chr6	152011630	152424408	94.1145	11.7578027390325	-0.396147069505082	0.0399948087836627
ETV6	chr12	11802787	12048325	209.360755102041	47.7075756272077	-0.166901454435554	0.146811415792162
EZH2	chr7	148504463	148581441	255.058957894737	77.3407364423876	0.307854423044281	0.157621011434467
FAM175A	chr4	84382093	84406290	172.363170454545	77.0954153372803	-0.0998512344241783	0.235056646793163
FBXW7	chr4	153242409	153456393	215.817807692308	89.9872735372516	-0.108428808877921	0.221107089184941
FCGR1A	chr1	149754249	149764074	159.726676470588	76.206764823511	0.836131186699479	0.767209906411374
FCGR2A	chr1	161475204	161489360	270.971457142857	106.891775205002	-0.0680424296025953	0.509494105488686
FCGR3A	chr1	161511550	161520413	50.8415	6.27114158267855	-1.24594782579776	0.135012403263107
FGFR1	chr8	38268655	38326352	304.614829787234	128.150744375158	0.703999136888502	0.19999194876465
FGFR2	chr10	123237843	123357972	136.843020618557	44.9577965282996	-0.570031257312101	0.149736838436921
FGFR4	chr5	176513920	176525126	136.092806818182	64.642887765093	0.161674265345597	0.253035932496353
FLT1	chr13	28874482	29069265	196.018680722892	64.1915825989256	-0.0929866116620605	0.171504194609837
FLT3	chr13	28577410	28674729	195.395507936508	66.4932892991569	-0.0729493319010018	0.206879744240905
FLT4	chr5	180028505	180076624	91.2694171779141	39.4400406305892	-0.202908797189111	0.24979312841983
FOXA1	chr14	38058756	38064325	139.88645	56.6351363518929	-0.302221189731751	0.238733824528433
GAB2	chr11	77926335	78128868	218.939484375	84.738091467362	0.143145828592801	0.179703904854968
GATA1	chrX	48644981	48652717	138.420942857143	56.6591251260896	-0.150711309849053	0.166444253031992
GATA2	chr3	128198264	128212030	78.89665	55.7327110459154	-0.589917572600822	0.3245739951994
GATA3	chr10	8096666	8117164	220.355777777778	81.1414762953883	0.141671994728827	0.160834437028535
GLI1	chr12	57853917	57866047	151.451311926606	60.0527014148723	-0.214654218558477	0.176751810848348
GNA11	chr19	3094407	3124000	98.9421315789474	31.7216249917035	-0.292532885049609	0.282348768014962
GNAQ	chr9	80331189	80646365	224.088157894737	86.3087297464674	0.259245710541155	0.195048838216287
GNAS	chr20	57414794	57486250	218.506458015267	118.834342947546	0.0867198398944376	0.16287448401818
GRIN2A	chr16	9847264	10276611	350.884514851485	132.735741568184	0.41959051317372	0.152446184398722
GRM3	chr7	86273229	86494192	332.470196969697	83.8039378172251	0.127189729864332	0.151132918643532
GSTP1	chr11	67351065	67354124	177.987625	49.6077231510818	0.107369549490353	0.0677541703949778
HDAC4	chr2	239969863	240322643	153.838413533835	80.9262366183238	0.23468227641648	0.206773236689051
HIF1A	chr14	62162118	62214977	139.318235955056	48.6343824040229	-0.532475977236619	0.166217936402371
HNF1A	chr12	121416548	121440314	103.943018518519	43.1763725842815	-0.138574323480275	0.248885310021522
HRAS	chr11	532241	535550	136.775	62.8148772246671	0.106316861445929	0.219791995409302
HSPH1	chr13	31709110	31736525	75.24575	15.1875547797366	-0.0868701229248889	0.0875129671152022
IDH1	chr2	209100950	209119867	178.823348837209	52.8380563749554	-0.013867946188384	0.208282794245428
IDH2	chr15	90627210	90645786	152.981036363636	85.1601802647573	-0.176193123685881	0.134234679377603
IGF1R	chr15	99192760	99507759	199.258267716535	66.7538231875059	-0.116986254728688	0.128499692335916
IKZF1	chr7	50344377	50472798	56.4246666666667	27.7894054005099	-1.57066795649199	0.27529676039657
IL7R	chr5	35856976	35879705	269.840125	57.1110760530977	0.282715091562451	0.109038584511136
ITPA	chr20	3189513	3204516	564.39775	40.5630360080147	0.835395154809197	0.0675263975786096
JAK1	chr1	65298905	65432187	193.303928571429	64.0838994227494	-0.0744847276119149	0.149752839097289
JAK2	chr9	4985244	5128183	109.724214285714	41.7400440834578	-0.548736829894439	0.209912000904891
JAK3	chr19	17935592	17958841	163.397065573771	98.1424065724484	0.514285839066983	0.192030874325908
KDM6A	chrX	44732422	44971845	184.327170886076	73.3874794948705	0.000133758825063555	0.206286441777413
KDR	chr4	55944425	55991762	201.876360759494	58.5973741903403	-0.030837693877407	0.146552431496813
KIF5B	chr10	32297937	32345371	157.044919014085	83.3070245725459	0.107147969174118	0.296876123782792
KIT	chr4	55524094	55606881	229.760410714286	64.4165713670672	-0.0420214825514066	0.153181500069224
KMT2A	chr11	118307204	118397539	286.017170909091	135.834210981689	0.332166787528586	0.380225133269075
KRAS	chr12	25357722	25403865	114.29172	35.7956953440159	-0.472468958543486	0.254255963063239
LRP2	chr2	169983618	170219122	151.22275	16.3327832345715	0.546442011500197	0.045900168100794
MAN1B1	chr9	139981378	140003639	344.47925	29.6773627734592	0.306443825187806	0.0667555472785367
MAP2K1	chr15	66679210	66783882	497.268882352941	179.039169950419	1.01740211551218	0.138887496602208
MAP2K2	chr19	4090319	4124126	91.8019607843137	51.608309671747	-0.14666654176795	0.239387546393113
MAP2K4	chr17	11924134	12047148	112.740509433962	51.9290985230797	-0.500364850258496	0.170174620022676
MAPK1	chr22	22113946	22221970	115.388205128205	48.8315610756622	-0.736837366465475	0.281071804745541
MC1R	chr16	89984286	89987385	56.8232173913043	30.0691622834924	-1.86490372716257	0.0712795425933154
MCL1	chr1	150547026	150552214	210.322071428571	114.814752258313	0.111250886594152	0.167675796140548
MDM2	chr12	69201951	69239324	171.016916666667	72.2429389892862	-0.0693767209972079	0.193981634601025
MDM4	chr1	204485506	204527248	155.832410714286	47.4332885504085	-0.546110284393104	0.170101595543346
MED12	chrX	70338405	70362304	136.994263157895	50.636007279865	-0.577149998920676	0.178992783654193
MEN1	chr11	64570985	64578766	160.571431034483	61.3161163266492	0.129839609710445	0.184746013463384
MET	chr7	116312458	116438440	203.368411290323	65.7366357831068	-0.220693751075124	0.165162262848683
MIOS	chr7	7606615	7647110	222.916951923077	89.9767256461764	-0.0695022016058299	0.155957311186478
MITF	chr3	69788585	70017488	270.061044117647	82.2789815072215	0.26793299120543	0.155688231537158
MLH1	chr3	37034840	37092337	371.507393063584	116.45295519374	0.211330538510639	0.162486844871473
MLH3	chr14	75480466	75518235	179.056370535714	47.6124403543979	-0.604271747897704	0.139834192016823
MPL	chr1	43803474	43820135	150.226301587302	80.9244825865026	-0.108655632222199	0.214385739480734
MRE11A	chr11	94150468	94227040	210.193556818182	77.3369699271926	0.33680355726411	0.191662076834482
MSH2	chr2	47630205	47710367	296.383685430463	119.899604314852	0.29617571153662	0.208649985207644
MSH6	chr2	48010220	48034092	397.723977220957	186.682425645159	0.203872320768322	0.178866119450905
MTAP	chr9	21802634	21865969	130.2708	60.9227782152431	-0.486271018619534	0.250536298205295
MTHFR	chr1	11845786	11866160	162.61975	17.8140426612687	-0.169486715071784	0.146120004019176
MUTYH	chr1	45794913	45806142	156.617135135135	57.0614897635506	-0.242700064482528	0.15383680599021
MYC	chr8	128748314	128753680	1582.88743243243	662.803873180855	2.15389373803089	0.134116641620306
MYCN	chr2	16080682	16087129	125.368617647059	84.2784182673591	-0.284243845489741	0.164084597270394
NBN	chr8	90945563	90996899	111.832188405797	46.5470832909221	-0.609030479207511	0.259010589606913
NF1	chr17	29421944	29704695	246.887895238095	85.2881617416786	0.319986039393685	0.1734962430312
NF2	chr22	29999544	30094589	135.577154761905	51.4232841583539	-0.592463967534451	0.149941809019728
NOTCH1	chr9	139388895	139440238	115.656204444444	68.5208424440199	0.455987829375923	0.232104301163947
NOTCH2	chr1	120454175	120612317	198.192917431193	73.661272643507	-0.0552478176601901	0.1913225749077
NPM1	chr5	170814707	170837888	206.639339622641	70.579172479455	0.305300208670608	0.133173770810295
NPRL2	chr3	50384918	50388486	242.026949152542	63.5007572543727	0.0465115270202017	0.161010225517671
NPRL3	chr16	135803	188697	193.78865	100.247089292046	0.502296368506562	0.283081389134432
NQO1	chr16	69743303	69760571	148.85825	12.470681564674	0.0406776222434874	0.08294161303799
NRAS	chr1	115247084	115259515	221.129741666667	62.7054362306406	-0.0456585377898495	0.159155318162648
