Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	BI427750478_12779	chr1	11854345	11854465	-0.111	-0.136370944541309	0.071	-0.095	120	0.752773460722593	0.999803754508858	loss	366.067	391.263	312.525	457.083	-0.264	0.02	4
2	0	BI427750478_12780	chr1	11854385	11854505	-0.058	-0.0367336377698039	0.039	-0.065	120	0.915123175386258	0.999803754508858	loss	452.665	470.327	386.558	549.567	-0.122	0.022	4
3	0	BI427750478_12781	chr1	11854425	11854545	-0.059	-0.029509782419658	0.043	-0.062	120	0.928546048142324	0.999803754508858	loss	468.339	487.418	399.958	569.558	-0.138	0.022	5
4	0	BI427750478_12782	chr1	11854465	11854585	-0.094	-0.0984192023860379	0.07	-0.092	120	0.802420345279265	0.999803754508858	loss	402.406	425.31	343.592	496.908	-0.277	0.022	4
5	0	BI427750478_12783	chr1	11856256	11856376	0.302	0.287838310887211	0.039	0.305	120	0.484566414658713	0.999803754508858	gain	438.053	356.155	374.067	416.017	0.221	0.375	4
6	0	BI427750478_12784	chr1	11856296	11856416	0.297	0.306560212390194	0.034	0.301	120	0.403343000675079	0.999803754508858	gain	484.004	394.277	413.35	460.608	0.221	0.361	4
7	0	BI427750478_12785	chr1	11856336	11856456	0.31	0.300496055094202	0.04	0.312	120	0.455849814192638	0.999803754508858	gain	447.674	362.381	382.292	423.3	0.221	0.409	4
8	0	BI427750478_12786	chr1	11856376	11856496	0.329	0.257512599051736	0.029	0.327	120	0.61985619531522	0.999803754508858	gain	346.484	276.292	295.783	322.6	0.262	0.409	3
9	0	BI427750478_12787	chr1	16705953	16706073	-0.108	-0.0797151174773604	0.046	-0.11	120	0.809889651861706	0.999803754508858	loss	458.406	492.477	391.467	575.475	-0.255	-0.021	5
10	0	BI427750478_12788	chr1	16705993	16706113	-0.125	-0.0870716612242608	0.069	-0.111	120	0.780930181405442	0.999803754508858	loss	474.734	515.851	405.425	602.817	-0.302	-0.021	5
11	0	BI427750478_12789	chr1	16706033	16706153	-0.179	-0.17704544919098	0.078	-0.169	120	0.642381881077543	0.999803754508858	loss	400.447	449.952	341.917	525.733	-0.343	-0.058	4
12	0	BI427750478_12790	chr1	16706073	16706193	-0.232	-0.306761048881903	0.061	-0.227	120	0.559193060358538	0.999803754508858	loss	283.26	330.928	241.733	386.508	-0.343	-0.102	3
17	0	BI427750478_12795	chr1	23107824	23107944	0.188	0.0675124540451915	0.041	0.184	120	0.911781719732063	0.999803754508858	gain	269.341	236.561	229.833	276.125	0.107	0.361	2
18	0	BI427750478_12796	chr1	23107864	23107984	0.198	0.130126823748698	0.028	0.2	120	0.799517684926773	0.999803754508858	gain	337.945	294.452	288.483	343.842	0.129	0.254	3
19	0	BI427750478_12797	chr1	23107904	23108024	0.2	0.147259646176738	0.025	0.203	120	0.760976214181927	0.999803754508858	gain	360.569	313.752	307.825	366.417	0.141	0.254	3
20	0	BI427750478_12798	chr1	23107944	23108064	0.21	0.132150719313426	0.029	0.212	120	0.803463969022127	0.999803754508858	gain	324.98	281.215	277.4	328.358	0.146	0.298	3
21	0	BI427750478_12799	chr1	23110845	23110965	0.243	0.168359064776332	0.158	0.278	120	0.748456814820915	0.999803754508858	gain	337.867	276.634	288.417	323	-0.075	0.458	3
22	0	BI427750478_12800	chr1	23110885	23111005	0.371	0.353694061914863	0.083	0.406	120	0.397191101605412	0.999803754508858	gain	443.454	340.232	378.683	397.392	0.144	0.474	4
23	0	BI427750478_12801	chr1	23110925	23111045	0.437	0.446614428451743	0.039	0.432	120	0.223305086312088	0.999803754508858	gain	505.38	373.103	431.625	435.842	0.307	0.537	4
24	0	BI427750478_12802	chr1	23110965	23111085	0.447	0.45823567271119	0.033	0.445	120	0.207658551868575	0.999803754508858	gain	510.352	374.193	435.875	437.117	0.384	0.537	4
