EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
ABL2	chr1	179198292	179198612	ABL2:NM_001168238(intron 3-5' UTR ),ABL2:NM_001168237(intron 3-5' UTR ),ABL2:NM_001168236(intron 3-5' UTR ),ABL2:NM_007314(intron 3-5' UTR ),ABL2:NM_001136001(intron 3-5' UTR )	34.2651666666667
AKT2	chr19	40791055	40791295	AKT2:NM_001243028(intron 3-5' UTR ),AKT2:NM_001626(intron 3-5' UTR ),AKT2:NM_001243027(intron 3-5' UTR )	15.1475
ASXL1	chr20	30946485	30946725	ASXL1:NM_015338(5' UTR -intron 1),ASXL1:NM_001164603(5' UTR -intron 1)	22.02375
ATRX	chrX	76911957	76912236	ATRX:NM_138270(intron 14-intron 13),ATRX:NM_000489(intron 15-intron 14)	32.8334
AXL	chr19	41725043	41725442	AXL:NM_021913(5' UTR -intron 1),AXL:NM_001699(5' UTR -intron 1)	48.34275
BCL2L11	chr2	111887637	111887917	BCL2L11:NM_001204113(intron 3),BCL2L11:NM_207003(intron 2),BCL2L11:NM_001204112(intron 3),BCL2L11:NM_006538(intron 3),BCL2L11:NM_001204111(intron 3),BCL2L11:NM_001204107(intron 2),BCL2L11:NM_001204106(intron 2),BCL2L11:NM_001204109(intron 2),BCL2L11:NM_001204108(intron 2),BCL2L11:NM_138627(intron 2),BCL2L11:NM_138626(intron 2),BCL2L11:NM_138625(intron 2-intron 3),BCL2L11:NM_138624(intron 2),BCL2L11:NM_138623(intron 3),BCL2L11:NM_138622(intron 2),BCL2L11:NM_138621(intron 2),BCL2L11:NM_001204110(intron 2)	9.7216
BRAF	chr7	140624273	140624593	BRAF:NM_004333(intron 3-5' UTR )	33.8206666666667
BRCA2	chr13	32920877	32921117	BRCA2:NM_000059(intron 12-intron 13)	45.81525
CDH1	chr16	68771221	68771461	CDH1:NM_004360(5' UTR -intron 1)	22.90175
CDKN2A	chr9	21994112	21994352	CDKN2A:NM_058195(intron 3-5' UTR )	33.42975
CHD1	chr5	98221178	98221457	CHD1:NM_001270(intron 19-intron 18)	42.5882
CHD1	chr5	98230206	98230485	CHD1:NM_001270(intron 14-intron 13)	29.2068
DEPDC5	chr22	32149884	32150083	DEPDC5:NM_001242896(5' UTR ),DEPDC5:NM_014662(5' UTR ),DEPDC5:NM_001242897(5' UTR -intron 1),DEPDC5:NM_001007188(5' UTR )	38.1586666666667
DNMT3A	chr2	25474943	25475183	DNMT3A:NM_175629(intron 8),DNMT3A:NM_022552(intron 8),DNMT3A:NM_153759(intron 3-5' UTR )	41.38325
DNMT3A	chr2	25536696	25536936	DNMT3A:NM_175629(intron 4-5' UTR ),DNMT3A:NM_175630(intron 4-5' UTR ),DNMT3A:NM_022552(intron 4-5' UTR )	25.36675
DOCK7	chr1	63113996	63114275	DOCK7:NM_001272001(intron 7-intron 6),DOCK7:NM_033407(intron 7-intron 6),DOCK7:NM_001271999(intron 7-intron 6),DOCK7:NM_001272000(intron 7-intron 6),DOCK7:NM_001272002(intron 7-intron 6)	31.408
DOCK7	chr1	63153829	63154108	DOCK7:NM_001272001(intron 3-5' UTR ),DOCK7:NM_033407(intron 3-5' UTR ),DOCK7:NM_001271999(intron 3-5' UTR ),DOCK7:NM_001272000(intron 3-5' UTR ),DOCK7:NM_001272002(intron 3-5' UTR )	7.6816
DPYD	chr1	97847843	97848122	DPYD:NM_000110(intron 17-intron 16)	14.9474
DPYD	chr1	98144555	98144834	DPYD:NM_000110(intron 10-intron 9)	20.0204
EGFR	chr7	55086873	55087153	EGFR:NM_201284(5' UTR -intron 1),EGFR:NM_201283(5' UTR -intron 1),EGFR:NM_201282(5' UTR -intron 1),EGFR:NM_005228(5' UTR -intron 1)	39.1454
EML4	chr2	42552578	42552778	EML4:NM_001145076(intron 18-intron 19),EML4:NM_019063(intron 19-intron 20)	14.5746666666667
ERBB2	chr17	37856406	37856646	ERBB2:NM_004448(5' UTR -intron 1),ERBB2:NM_001005862(intron 4),ERBB2:NM_001289937(5' UTR -intron 1),ERBB2:NR_110535(5' UTR -intron 1),ERBB2:NM_001289936(intron 5),ERBB2:NM_001289938(intron 4)	14.91125
FCGR1A	chr1	149754614	149754854	FCGR1A:NM_000566(intron 1-intron 2),HIST2H2BF:NM_001161334(3' UTR -intron 3)	14.0855
FGFR1	chr8	38273361	38273601	FGFR1:NM_001174067(intron 16-intron 15),FGFR1:NM_023105(intron 14-intron 13),FGFR1:NM_015850(intron 15-intron 14),FGFR1:NM_023110(intron 15-intron 14),FGFR1:NM_023106(intron 14-intron 13),FGFR1:NM_001174066(intron 14-intron 13),FGFR1:NM_001174065(intron 15-intron 14),FGFR1:NM_001174064(intron 16-intron 15),FGFR1:NM_001174063(intron 15-intron 14)	47.22575
FGFR3	chr4	1795574	1795854	FGFR3:NM_001163213(5' UTR -intron 2),FGFR3:NM_000142(5' UTR -intron 2),FGFR3:NM_022965(5' UTR -intron 2)	12.5904
FLT1	chr13	29068827	29069067	FLT1:NM_001160030(intron 3-5' UTR ),FLT1:NM_002019(intron 3-5' UTR ),FLT1:NM_001159920(intron 3-5' UTR ),FLT1:NM_001160031(intron 3-5' UTR )	26.12
FLT3	chr13	28674504	28674744	FLT3:NM_004119(intron 3-5' UTR )	10.35325
FLT4	chr5	180045923	180046203	FLT4:NM_002020(intron 22-intron 21),FLT4:NM_182925(intron 22-intron 21)	34.8158
FLT4	chr5	180076395	180076635	FLT4:NM_002020(intron 3-5' UTR ),FLT4:NM_182925(intron 3-5' UTR )	14.34275
GAB2	chr11	78128607	78128847	GAB2:NM_080491(intron 3-5' UTR )	11.1075
GLI1	chr12	57853811	57854090	GLI1:NM_001160045(5' UTR -intron 1),GLI1:NM_001167609(5' UTR -intron 1),GLI1:NM_005269(5' UTR -intron 1)	18.3016
GNAS	chr20	57466689	57467009	GNAS:NM_001077490(intron 1),GNAS:NM_016592(intron 1),GNAS:NM_080425(intron 1),GNAS:NR_003259(intron 1),GNAS:NM_001077488(5' UTR -intron 1),GNAS:NM_000516(5' UTR -intron 1),GNAS:NM_080426(5' UTR -intron 1),GNAS:NM_001077489(5' UTR -intron 1)	25.0985
IDH2	chr15	90645423	90645703	IDH2:NM_001290114(intron 3-5' UTR ),IDH2:NM_002168(intron 3-5' UTR )	23.857
JAK2	chr9	5077355	5077675	JAK2:NM_004972(intron 14-intron 15)	4.11233333333333
JAK3	chr19	17940830	17941110	JAK3:NM_000215(intron 25-intron 24)	45.2344
KMT2A	chr11	118307242	118307682	KMT2A:NM_005933(exon 1-intron 1),KMT2A:NM_001197104(exon 1-intron 1)	45.5531111111111
