Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Gene_Score	Pvalue	B-H_Pvalue	Transcripts
ABCB1	chr7:87138523-87160736	480	0.307954785643101	0.179449922231364	147.818297108688	0.605150316602216	0.999862205672968	ABCB1:NM_000927
ABCC4	chr13:95815293-95815533	240	0.34847611645757	0.147170838996578	83.6342679498167	0.582712256813904	0.999862205672968	ABCC4:NM_001105515,ABCC4:NM_005845
ABCG2	chr4:89052201-89052441	240	-0.0557448106751666	0.0607946675168687	13.37875456204	0.877944349787159	0.999862205672968	ABCG2:NM_001257386,ABCG2:NM_004827
ABL1	chr9:133589613-133761091	4840	0.355130876186471	0.144473522146854	1718.83344074252	0.521454615335631	0.999862205672969	ABL1:NM_007313,ABL1:NM_005157
ABL2	chr1:179076813-179198612	5280	0.201313294719052	0.155043066961536	1062.93419611659	0.709966717638416	0.999862205672969	ABL2:NM_001168238,ABL2:NM_001168237,ABL2:NM_001168236,ABL2:NM_007314,ABL2:NM_001136001,ABL2:NM_001136000,ABL2:NM_001168239,ABL2:NM_005158
AKT1	chr14:105236596-105259076	3680	0.230905762442177	0.218790690763447	849.733205787211	0.705381056190001	0.999862205672968	AKT1:NM_001014432,AKT1:NM_005163,AKT1:NM_001014431
AKT2	chr19:40736199-40791295	7440	-0.194550987808692	0.214754795368196	1447.45934929667	0.680268120938659	0.974549238440741	AKT2:NM_001243028,AKT2:NM_001626,AKT2:NM_001243027,MIR641:NR_030371
AKT3	chr1:243651502-244006648	4040	0.296699931436256	0.20859852114654	1198.66772300247	0.632182420990611	0.999862205672968	AKT3:NM_001206729,AKT3:NM_005465,SDCCAG8:NM_006642,AKT3:NM_181690
ALK	chr2:29415574-30144527	10290	0.133606346617999	0.193509130967399	1374.80930669921	0.733105317916288	0.999862951478707	ALK:NM_004304
APC	chr5:112043375-112179855	11000	0.25020074738496	0.158064205413425	2752.20822123456	0.611007615920246	0.999862205672969	APC:NM_001127511,APC:NM_001127510,APC:NM_000038
AR	chrX:66764956-66943725	3600	1.59335512674441	0.158182826892666	5736.07845627989	0.00149095643009625	0.230764520707579	AR:NM_000044,AR:NM_001011645
ASXL1	chr20:30946485-31025166	6680	0.171255968465719	0.173991104289478	1143.989869351	0.734013340743239	0.999862205672968	ASXL1:NM_015338,ASXL1:NM_001164603
ATM	chr11:108098282-108236262	17320	0.296556220566477	0.176733277199534	5136.35374021138	0.61028105513531	0.999862205672968	ATM:NM_000051
ATRX	chrX:76760292-77041811	15885	-0.497876444056112	0.188175501779029	7908.76731383134	0.415027568124026	0.999862205672968	ATRX:NM_138270,ATRX:NM_000489
AURKA	chr20:54945183-54963351	2160	0.215693797734994	0.144687974853505	465.898603107588	0.686275046651984	0.999862205672968	AURKA:NM_198436,AURKA:NM_003600,AURKA:NM_198435,AURKA:NM_198434,AURKA:NM_198433,AURKA:NM_198437
AURKB	chr17:8108154-8113637	2120	-0.728337453607348	0.200116835590059	1544.07540164758	0.248362969457522	0.999862205672968	AURKB:NM_004217,AURKB:NM_001284526,AURKB:NM_001256834
AXL	chr19:41725043-41767724	7819	-0.129428383658206	0.239443339941518	1012.00053182352	0.709617480420171	0.999862478438752	AXL:NM_021913,AXL:NM_001278599,AXL:NM_001699
