Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Gene_Score	Pvalue	B-H_Pvalue	Transcripts
ABCB1	chr7:87138523-87160736	480	0.0629992058712875	0.203425380339815	30.239618818218	0.594620945809214	0.999921823990049	ABCB1:NM_000927
ABCC4	chr13:95815293-95815533	240	-0.739848167333569	0.063613318989	177.563560160057	0.260003338318904	0.999921823990049	ABCC4:NM_001105515,ABCC4:NM_005845
ABCG2	chr4:89052201-89052441	240	-0.0436655090436172	0.013904440604648	10.4797221704681	0.885422267433566	0.999921823990049	ABCG2:NM_001257386,ABCG2:NM_004827
ABL1	chr9:133589613-133761091	4840	0.262414506004972	0.24959071784797	1270.08620906406	0.536427494665382	0.99992182399005	ABL1:NM_007313,ABL1:NM_005157
ABL2	chr1:179076813-179198612	5280	0.0490796187509459	0.229626623367013	259.140387004994	0.6473840197483	0.99992182399005	ABL2:NM_001168238,ABL2:NM_001168237,ABL2:NM_001168236,ABL2:NM_007314,ABL2:NM_001136001,ABL2:NM_001136000,ABL2:NM_001168239,ABL2:NM_005158
AKT1	chr14:105236596-105259076	3680	0.374407313858394	0.164254524381797	1377.81891499889	0.484065790400728	0.99992182399005	AKT1:NM_001014432,AKT1:NM_005163,AKT1:NM_001014431
AKT2	chr19:40736199-40791295	7440	0.237068823610987	0.224705693424334	1763.79204766574	0.595946017998806	0.974607347433337	AKT2:NM_001243028,AKT2:NM_001626,AKT2:NM_001243027,MIR641:NR_030371
AKT3	chr1:243651502-244006648	4040	-0.301406299534377	0.369445278242715	1217.68145011888	0.580693350064394	0.99992182399005	AKT3:NM_001206729,AKT3:NM_005465,SDCCAG8:NM_006642,AKT3:NM_181690
ALK	chr2:29415574-30144527	10290	0.190443142111388	0.239306759130868	1959.65993232618	0.622049935002344	0.999921823990044	ALK:NM_004304
APC	chr5:112043375-112179855	11000	-0.0843072020446961	0.274298596276436	927.379222491657	0.650056863084913	0.999921823990043	APC:NM_001127511,APC:NM_001127510,APC:NM_000038
AR	chrX:66764956-66943725	3600	0.179621261751407	0.318051866068018	646.636542305063	0.561891841701897	0.99992182399005	AR:NM_000044,AR:NM_001011645
ASXL1	chr20:30946485-31025166	6680	0.0904705009619876	0.211347354691012	604.342946426077	0.629321504691525	0.999921823990048	ASXL1:NM_015338,ASXL1:NM_001164603
ATM	chr11:108098282-108236262	17320	-0.229728536441539	0.304908644051999	3978.89825116745	0.598559018352319	0.999921823990046	ATM:NM_000051
ATRX	chrX:76760292-77041811	15885	-0.178724285608748	0.273103747711467	2839.03527689497	0.617024849293999	0.999921823990047	ATRX:NM_138270,ATRX:NM_000489
AURKA	chr20:54945183-54963351	2160	-0.0138352600572327	0.194091916517351	29.8841617236227	0.729954102372876	0.999921823990049	AURKA:NM_198436,AURKA:NM_003600,AURKA:NM_198435,AURKA:NM_198434,AURKA:NM_198433,AURKA:NM_198437
AURKB	chr17:8108154-8113637	2120	0.177828956963295	0.194787666279122	376.997388762184	0.599778008343019	0.999921823990049	AURKB:NM_004217,AURKB:NM_001284526,AURKB:NM_001256834
AXL	chr19:41725043-41767724	7819	0.0844048536466213	0.195053993754177	659.961550662932	0.686659766182601	0.999921823990047	AXL:NM_021913,AXL:NM_001278599,AXL:NM_001699
BAK1	chr6:33541490-33545465	1400	0.187560493174365	0.166156152659362	262.584690444112	0.640747076587238	0.999921823990049	BAK1:NM_001188
BAP1	chr3:52436209-52443975	4880	0.270387388542449	0.227457252535235	1319.49045608715	0.597604567850234	0.99992182399005	BAP1:NM_004656
BARD1	chr2:215590311-215674485	7069	-0.137618297147809	0.232014215361639	972.823742537864	0.638042045715419	0.999922163348183	BARD1:NM_000465,BARD1:NM_001282549,BARD1:NM_001282548,BARD1:NM_001282543,BARD1:NM_001282545,BARD1:NR_104212,BARD1:NR_104215,BARD1:NR_104216
BCL2	chr18:60795763-60985929	1000	0.203735135451302	0.195708381326411	203.735135451302	0.645662294546744	0.999921823990049	BCL2:NM_000633,BCL2:NM_000657
BCL2L11	chr2:111881298-111921897	5880	-0.031510276962174	0.234557999133746	185.280428537583	0.582729338488564	0.959274595372568	BCL2L11:NM_001204113,BCL2L11:NM_207003,BCL2L11:NM_207002,BCL2L11:NM_001204112,BCL2L11:NM_006538,BCL2L11:NM_001204111,BCL2L11:NM_001204107,BCL2L11:NM_001204106,BCL2L11:NM_001204109,BCL2L11:NM_001204108,BCL2L11:NM_138627,BCL2L11:NM_138626,BCL2L11:NM_138625,BCL2L11:NM_138624,BCL2L11:NM_138623,BCL2L11:NM_138622,BCL2L11:NM_138621,BCL2L11:NM_001204110
BCOR	chrX:39911326-39937278	6760	0.146473203547655	0.21820174890278	990.158855982149	0.578856787006134	0.999921823990048	BCOR:NM_001123384,BCOR:NM_001123383,BCOR:NM_001123385,BCOR:NM_017745
BCR	chr22:23615791-23634863	1280	0.270504218384813	0.205722184672976	346.245399532561	0.545710507547444	0.999921823990049	BCR:NM_004327,BCR:NM_021574
BRAF	chr7:140434362-140624593	5223	-0.239517625924754	0.314530175062586	1251.00056020499	0.466785330435145	0.99992182399005	BRAF:NM_004333
BRCA1	chr17:41197595-41276192	5840	-0.237307611721184	0.276836412329929	1385.87645245171	0.581896053306948	0.99992182399005	BRCA1:NM_007298,BRCA1:NM_007300,BRCA1:NM_007294,BRCA1:NM_007299,BRCA1:NM_007297,BRCA1:NR_027676
BRCA2	chr13:32890509-32972941	13480	-0.139184276718366	0.243976675950612	1876.20405016357	0.692089744488549	0.999921847716932	BRCA2:NM_000059
BRIP1	chr17:59756484-59940982	10620	-0.128409421038838	0.359021692572932	1363.70805143246	0.607313997005018	0.999921823990044	BRIP1:NM_032043
CALR	chr19:13049359-13055367	3311	0.147321661016345	0.139245472327264	487.782019625117	0.667487889231151	0.99992182399005	CALR:NM_004343,MIR6515:NR_106770
CBL	chr11:119077103-119170526	5003	-0.0440903515872915	0.229888580656005	220.584028991219	0.696383395213671	0.99992182399005	CBL:NM_005188
CBLB	chr3:105377782-105586456	5520	-0.164179972092364	0.199444119365275	906.273445949851	0.64874958891467	0.99992182399005	CBLB:NM_170662
CCND1	chr11:69456059-69466086	1400	0.282007320677008	0.163575051616351	394.810248947812	0.6531898141006	0.999921823990049	CCND1:NM_053056
CCNE1	chr19:30303359-30315249	3640	-0.0110907680688095	0.1508719727745	40.3703957704667	0.729346754079717	0.99992182399005	CCNE1:NM_001238
CDH1	chr16:68771221-68867436	4680	0.0466362054483841	0.208268528221395	218.257441498438	0.71593957325336	0.952866679331694	CDH1:NM_004360
CDK4	chr12:58141980-58146199	2400	0.109601629688856	0.214515733997291	263.043911253255	0.588404039974887	0.99992182399005	TSPAN31:NM_005981,CDK4:NM_000075,MIR6759:NR_106817
CDK6	chr7:92244365-92462659	2000	0.00349060365444372	0.200525825311832	6.98120730888744	0.749612512956215	0.999921823990049	CDK6:NM_001145306,CDK6:NM_001259
CDK8	chr13:26828681-26978314	3680	-0.276145132687116	0.399875982991542	1016.21408828859	0.495847846914008	0.99992182399005	CDK8:NM_001260
CDKN1A	chr6:36644129-36655181	3474	0.23241543840455	0.288771436454081	807.411233017405	0.497674252995995	0.99992182399005	CDKN1A:NM_001220777,CDKN1A:NM_000389,CDKN1A:NM_001220778,CDKN1A:NM_078467
CDKN2A	chr9:21968113-21994352	1760	0.0487909753034278	0.314054775126488	85.872116534033	0.66685681137731	0.999922035307638	CDKN2A:NM_001195132,CDKN2A:NM_058197,CDKN2A:NM_058195,CDKN2A:NM_000077
CEBPA	chr19:33792220-33793340	1120	-0.660428617517401	0.861325386542405	739.68005161949	0.54073985071885	0.826022376339606	CEBPA:NM_001285829,CEBPA:NM_001287424,CEBPA:NM_001287435,CEBPA:NM_004364
CHD1	chr5:98190849-98262297	11205	-0.337931827306034	0.312451082090946	3786.52612496411	0.521879839126573	0.999921823990044	CHD1:NM_001270
CHEK1	chr11:125495010-125525358	4160	-0.114062509560555	0.433118715907673	474.500039771909	0.482564287909542	0.99992182399005	CHEK1:NM_001114121,CHEK1:NR_045205,CHEK1:NM_001114122,CHEK1:NM_001244846,CHEK1:NM_001274,CHEK1:NR_045204
CHEK2	chr22:29083788-29130728	4280	-0.0313231163622034	0.194451575562135	134.06293803023	0.716580752527217	0.99992182399005	CHEK2:NM_001257387,CHEK2:NM_145862,CHEK2:NM_007194,CHEK2:NM_001005735
CREBBP	chr16:3777695-3930013	11120	0.12520737989644	0.282489940083644	1392.30606444841	0.627897699648518	0.999921823990044	CREBBP:NM_001079846,CREBBP:NM_004380
CRLF2	chrX:1314792-1331606	1640	-0.181194679804511	0.258957241257748	297.159274879398	0.493385418033958	0.999921823990049	CRLF2:NM_001012288,CRLF2:NM_022148,CRLF2:NR_110830
CSF1R	chr5:149433553-149466084	6080	0.322793532084565	0.214940465524614	1962.58467507416	0.533571708621043	0.99992182399005	CSF1R:NM_005211,CSF1R:NM_001288705,CSF1R:NR_109969
CTNNB1	chr3:41265444-41280867	4245	0.0195684298616805	0.19872224530593	83.0679847628337	0.674584462388476	0.99992182399005	CTNNB1:NM_001904,CTNNB1:NM_001098209,CTNNB1:NM_001098210
CYP1B1	chr2:38298081-38298321	240	0.262624854108684	0.134996795726402	63.0299649860841	0.456162788072657	0.999921823990049	CYP1B1:NM_000104
CYP2C8	chr10:96796852-96827148	960	-0.0943585371946365	0.148141985105374	90.584195706851	0.707389378354007	0.999921823990049	CYP2C8:NM_001198855,CYP2C8:NM_001198854,CYP2C8:NM_000770,CYP2C8:NM_001198853
CYP2D6	chr22:42523495-42526812	1840	0.319571301979445	0.151094567416371	588.011195642179	0.570065813514757	0.999921823990049	CYP2D6:NM_001025161,CYP2D6:NM_000106
CYP3A4	chr7:99358350-99381779	1240	-0.144102559815214	0.240639550177236	178.687174170865	0.63610258790159	0.999921823990049	CYP3A4:NM_001202855,CYP3A4:NM_017460
CYP3A5	chr7:99250272-99270657	720	0.0422830044039975	0.160035911551823	30.4437631708782	0.712839431510932	0.999921823990049	CYP3A5:NR_033811,CYP3A5:NR_033812,CYP3A5:NM_001190484,CYP3A5:NR_033810,CYP3A5:NR_033809,CYP3A5:NR_033808,CYP3A5:NR_033807,CYP3A5:NM_000777
DAXX	chr6:33286277-33290855	3552	0.188838107913771	0.172924024581639	670.752959309715	0.566856839280328	0.99992182399005	DAXX:NM_001254717,DAXX:NM_001141970,DAXX:NM_001350,DAXX:NM_001141969
DDR2	chr1:162688753-162750127	4600	0.00613996768829281	0.185323562232968	28.2438513661469	0.704667052931669	0.99992182399005	DDR2:NM_006182,DDR2:NM_001014796
DEPDC5	chr22:32149884-32303085	13315	0.0610493901563559	0.242931964168922	812.872629931879	0.655423968226683	0.999921823990043	DEPDC5:NM_001242896,DEPDC5:NM_014662,DEPDC5:NM_001242897,DEPDC5:NM_001136029,DEPDC5:NM_001007188
DNAJB1	chr19:14625572-14629211	2677	0.0873140408284699	0.152128206683313	233.739687297814	0.656996648193088	0.99992182399005	DNAJB1:NM_006145
DNMT3A	chr2:25457057-25536936	6720	0.263060134554961	0.228473924680885	1767.76410420934	0.558382945470101	0.99992182399005	DNMT3A:NM_175629,DNMT3A:NM_175630,DNMT3A:NM_022552,DNMT3A:NM_153759
DOCK7	chr1:62920342-63154108	15269	-0.307227404479094	0.315356500507736	4691.05523899128	0.538879346073764	0.9821296207162	DOCK7:NM_001272001,DOCK7:NM_033407,DOCK7:NM_001271999,DOCK7:NM_001272000,ANGPTL3:NM_014495,DOCK7:NM_001272002
DPYD	chr1:97543241-98386667	9015	-0.313978913227328	0.429025374045756	2830.51990274436	0.546398030599531	0.999921823990045	DPYD-AS1:NR_046590,DPYD:NM_001160301,DPYD:NM_000110,DPYD-AS2:NR_046591
EGFR	chr7:55086873-55273348	8600	0.0299959457534759	0.244812288136744	257.965133479893	0.682161658963719	0.999921823990047	EGFR:NM_201284,EGFR:NM_201283,EGFR:NM_201282,EGFR:NM_005228,EGFR-AS1:NR_047551
EIF3A	chr10:120795524-120840282	6640	-0.0902612811914325	0.223853993200705	599.334907111112	0.593649692319725	0.99992182399005	SNORA19:NR_002917,EIF3A:NM_003750
EML4	chr2:42472606-42553418	2360	-0.326000817199284	0.346965068139333	769.361928590311	0.499150393419005	0.975533486819561	EML4:NM_001145076,EML4:NM_019063
EPHA3	chr3:89156801-89528738	5280	-0.118837063712374	0.189697670858779	627.459696401337	0.687125833214385	0.99992182399005	EPHA3:NM_182644,EPHA3:NM_005233
EPHA5	chr4:66189743-66535488	5560	-0.083335652700822	0.290136101106703	463.34622901657	0.591671343640343	0.99992182399005	EPHA5:NM_004439,EPHA5:NM_182472,EPHA5:NM_001281765,EPHA5:NM_001281767,EPHA5:NM_001281766
EPHB2	chr1:23107824-23240147	4880	0.312809144973855	0.192468781696705	1526.50862747241	0.477405421027994	0.99992182399005	EPHB2:NM_004442,EPHB2:NM_017449,MIR4253:NR_036214
EPHB6	chr7:142560894-142568730	5160	0.401245496239874	0.206001282016485	2070.42676059775	0.450836145170232	0.99992182399005	EPHB6:NM_004445,EPHB6:NM_001280795,EPHB6:NM_001280794,EPHB6:NR_104001
ERBB2	chr17:37856406-37884318	7720	0.304273516021482	0.239769031258545	2348.99154368584	0.541370402934607	0.971147095242134	ERBB2:NM_004448,ERBB2:NM_001005862,ERBB2:NM_001289937,ERBB2:NR_110535,ERBB2:NM_001289936,ERBB2:NM_001289938,MIR4728:NR_039881
ERBB3	chr12:56473984-56495874	8360	0.0819195373608124	0.187815112754329	684.847332336392	0.650332513659699	0.999921823990047	ERBB3:NM_001982,ERBB3:NM_001005915
