Position	Probe	MeanCoverage
20:31019111-31019300	ASXL1+ASXL1_UserDefined_(33127262)_52950144.1	3646
20:31019379-31019567	ASXL1+ASXL1_UserDefined_(33127262)_52950145.1	5791
20:31018989-31019166	ASXL1+ASXL1_UserDefined_(33127262)_52950146.1	5977
20:31019249-31019432	ASXL1+ASXL1_UserDefined_(33127262)_52950147.1	2808
20:31016010-31016192	ASXL1+ASXL1_UserDefined_(33446036)_52950141.1	5106
20:31015888-31016063	ASXL1+ASXL1_UserDefined_(33446036)_52950142.1	2863
20:31016138-31016312	ASXL1+ASXL1_UserDefined_(33446036)_52950143.1	2840
20:31021058-31021227	ASXL1_Cds_16934697_UserDefined_(33446037)_52950793.1	23764
20:31021228-31021398	ASXL1_Cds_16934697_UserDefined_(33446037)_52950794.1	18046
20:31021432-31021617	ASXL1_Cds_16934697_UserDefined_(33446037)_52950795.1	7035
20:31021692-31021874	ASXL1_Cds_16934697_UserDefined_(33446037)_52950796.1	6862
20:31020950-31021120	ASXL1_Cds_16934697_UserDefined_(33446037)_52950797.1	11835
20:31021142-31021311	ASXL1_Cds_16934697_UserDefined_(33446037)_52950798.1	24836
20:31021318-31021488	ASXL1_Cds_16934697_UserDefined_(33446037)_52950799.1	9953
20:31021566-31021742	ASXL1_Cds_16934697_UserDefined_(33446037)_52950800.1	6061
20:30946576-30946764	ASXL1_Cds_16934829_UserDefined_(33127264)_52950148.1	2352
20:30946452-30946625	ASXL1_Cds_16934829_UserDefined_(33127264)_52950149.1	5634
20:31017220-31017390	ASXL1_Cds_16935406_UserDefined_(33446038)_52950801.1	2291
20:31017090-31017273	ASXL1_Cds_16935406_UserDefined_(33446038)_52950802.1	2671
20:31022232-31022404	ASXL1_Cds_16936954_UserDefined_(33127266)_52950150.1	8261
20:31022472-31022641	ASXL1_Cds_16936954_UserDefined_(33127266)_52950151.1	5922
20:31022678-31022848	ASXL1_Cds_16936954_UserDefined_(33127266)_52950152.1	8664
20:31022860-31023030	ASXL1_Cds_16936954_UserDefined_(33127266)_52950153.1	10861
20:31023054-31023223	ASXL1_Cds_16936954_UserDefined_(33127266)_52950154.1	18855
20:31023230-31023400	ASXL1_Cds_16936954_UserDefined_(33127266)_52950155.1	12975
20:31023420-31023589	ASXL1_Cds_16936954_UserDefined_(33127266)_52950156.1	9497
20:31023598-31023768	ASXL1_Cds_16936954_UserDefined_(33127266)_52950157.1	12620
20:31023802-31023971	ASXL1_Cds_16936954_UserDefined_(33127266)_52950158.1	14447
20:31023998-31024167	ASXL1_Cds_16936954_UserDefined_(33127266)_52950159.1	12654
20:31024174-31024344	ASXL1_Cds_16936954_UserDefined_(33127266)_52950160.1	7828
20:31024376-31024545	ASXL1_Cds_16936954_UserDefined_(33127266)_52950161.1	8758
20:31024612-31024781	ASXL1_Cds_16936954_UserDefined_(33127266)_52950162.1	12848
20:31024838-31025009	ASXL1_Cds_16936954_UserDefined_(33127266)_52950163.1	6280
20:31025078-31025258	ASXL1_Cds_16936954_UserDefined_(33127266)_52950164.1	2666
20:31022118-31022287	ASXL1_Cds_16936954_UserDefined_(33127266)_52950165.1	7340
20:31022356-31022525	ASXL1_Cds_16936954_UserDefined_(33127266)_52950166.1	3534
20:31022562-31022731	ASXL1_Cds_16936954_UserDefined_(33127266)_52950167.1	7886
20:31022770-31022939	ASXL1_Cds_16936954_UserDefined_(33127266)_52950168.1	9419
20:31022970-31023139	ASXL1_Cds_16936954_UserDefined_(33127266)_52950169.1	16668
20:31023142-31023311	ASXL1_Cds_16936954_UserDefined_(33127266)_52950170.1	17059
20:31023318-31023487	ASXL1_Cds_16936954_UserDefined_(33127266)_52950171.1	11349
20:31023506-31023675	ASXL1_Cds_16936954_UserDefined_(33127266)_52950172.1	11485
20:31023712-31023881	ASXL1_Cds_16936954_UserDefined_(33127266)_52950173.1	13205
20:31023910-31024079	ASXL1_Cds_16936954_UserDefined_(33127266)_52950174.1	14100
20:31024090-31024260	ASXL1_Cds_16936954_UserDefined_(33127266)_52950175.1	11048
20:31024290-31024459	ASXL1_Cds_16936954_UserDefined_(33127266)_52950176.1	8244
20:31024496-31024666	ASXL1_Cds_16936954_UserDefined_(33127266)_52950177.1	10942
20:31024728-31024897	ASXL1_Cds_16936954_UserDefined_(33127266)_52950178.1	10956
20:31024958-31025132	ASXL1_Cds_16936954_UserDefined_(33127266)_52950179.1	7580
20:30956888-30957062	ASXL1_Cds_16937472_UserDefined_(33446039)_52950803.1	6574
20:30956772-30956943	ASXL1_Cds_16937472_UserDefined_(33446039)_52950804.1	4618
20:31020760-31020948	ASXL1_Cds_16937713_UserDefined_(33127268)_52950180.1	3237
20:31020636-31020812	ASXL1_Cds_16937713_UserDefined_(33127268)_52950181.1	4489
20:31017797-31017977	ASXL1_Cds_16937823_UserDefined_(33446040)_52950805.1	6748
20:31017661-31017845	ASXL1_Cds_16937823_UserDefined_(33446040)_52950806.1	3162
20:30954140-30954326	ASXL1_Cds_16938447_UserDefined_(33127270)_52950182.1	4943
20:30959920-30960090	ASXL1_Cds_16938737_UserDefined_(33446041)_52950807.1	3833
11:119146790-119146960	CBL_exon_6_Cds_16743449_UserDefined_(33369617)_52950239.1	3299
11:119146672-119146844	CBL_exon_6_Cds_16743449_UserDefined_(33369617)_52950240.1	4492
11:119148434-119148610	CBL_exon_7_Cds_16740907_UserDefined_(33446047)_52950241.1	1004
11:119148911-119149094	CBL_exon_8_Cds_16741577_UserDefined_(33369618)_52950242.1	2300
11:119148789-119148967	CBL_exon_8_Cds_16741577_UserDefined_(33369618)_52950243.1	1494
11:119149311-119149489	CBL_exon_9_Cds_16740979_UserDefined_(33446048)_52950244.1	2361
11:119149185-119149363	CBL_exon_9_Cds_16740979_UserDefined_(33446048)_52950245.1	3381
1:36932166-36932346	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950218.1	5406
1:36932412-36932590	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950219.1	7078
1:36932038-36932217	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950220.1	2053
1:36932296-36932466	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950221.1	12087
1:36933516-36933697	CSF3R_Exon_15_Cds_16655330_UserDefined_(33369620)_52950196.1	2535
1:36933390-36933561	CSF3R_Exon_15_Cds_16655330_UserDefined_(33369620)_52950197.1	10653
1:36933160-36933341	CSF3R_Exon_17_Cds_16657377_UserDefined_(33446050)_52950235.1	4120
2:25466740-25466911	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950467.1	8490
2:25466934-25467105	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950468.1	19262
2:25467106-25467280	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950469.1	13031
2:25467352-25467524	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950470.1	9693
2:25466624-25466794	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950471.1	2684
2:25466834-25467003	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950472.1	13870
2:25467020-25467189	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950473.1	18306
2:25467216-25467401	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950474.1	5153
2:25467470-25467646	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950475.1	8295
2:25463258-25463447	DNMT3A+DNMT3A_UserDefined_(33369625)_52950463.1	3040
2:25463530-25463712	DNMT3A+DNMT3A_UserDefined_(33369625)_52950464.1	4325
2:25463126-25463306	DNMT3A+DNMT3A_UserDefined_(33369625)_52950465.1	2398
2:25463396-25463582	DNMT3A+DNMT3A_UserDefined_(33369625)_52950466.1	6085
2:25505341-25505526	DNMT3A+DNMT3A_UserDefined_(33381742)_52950479.1	5058
2:25505215-25505392	DNMT3A+DNMT3A_UserDefined_(33381742)_52950480.1	8102
2:25505473-25505643	DNMT3A+DNMT3A_UserDefined_(33381742)_52950481.1	2591
2:25468962-25469143	DNMT3A+DNMT3A_UserDefined_(33446056)_52950476.1	4462
2:25468844-25469015	DNMT3A+DNMT3A_UserDefined_(33446056)_52950477.1	4373
2:25469092-25469278	DNMT3A+DNMT3A_UserDefined_(33446056)_52950478.1	8953
2:25498326-25498514	DNMT3A_Cds_16893691_UserDefined_(33381743)_52950493.1	4152
2:25523099-25523286	DNMT3A_Cds_16893882_UserDefined_(33446057)_52950494.1	2243
2:25522963-25523151	DNMT3A_Cds_16893882_UserDefined_(33446057)_52950495.1	785
2:25469582-25469765	DNMT3A_Cds_16894803_UserDefined_(33381744)_52950484.1	4242
2:25469450-25469629	DNMT3A_Cds_16894803_UserDefined_(33381744)_52950485.1	4054
2:25464524-25464712	DNMT3A_Cds_16895092_UserDefined_(33446058)_52950482.1	5337
2:25464390-25464573	DNMT3A_Cds_16895092_UserDefined_(33446058)_52950483.1	5701
