EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
ABL2	chr1	179198292	179198612	ABL2:NM_001168238(intron 3-5' UTR ),ABL2:NM_001168237(intron 3-5' UTR ),ABL2:NM_001168236(intron 3-5' UTR ),ABL2:NM_007314(intron 3-5' UTR ),ABL2:NM_001136001(intron 3-5' UTR )	47.6493333333333
AKT2	chr19	40791055	40791295	AKT2:NM_001243028(intron 3-5' UTR ),AKT2:NM_001626(intron 3-5' UTR ),AKT2:NM_001243027(intron 3-5' UTR )	33.53775
ASXL1	chr20	30946485	30946725	ASXL1:NM_015338(5' UTR -intron 1),ASXL1:NM_001164603(5' UTR -intron 1)	31.9345
BCL2L11	chr2	111887637	111887917	BCL2L11:NM_001204113(intron 3),BCL2L11:NM_207003(intron 2),BCL2L11:NM_001204112(intron 3),BCL2L11:NM_006538(intron 3),BCL2L11:NM_001204111(intron 3),BCL2L11:NM_001204107(intron 2),BCL2L11:NM_001204106(intron 2),BCL2L11:NM_001204109(intron 2),BCL2L11:NM_001204108(intron 2),BCL2L11:NM_138627(intron 2),BCL2L11:NM_138626(intron 2),BCL2L11:NM_138625(intron 2-intron 3),BCL2L11:NM_138624(intron 2),BCL2L11:NM_138623(intron 3),BCL2L11:NM_138622(intron 2),BCL2L11:NM_138621(intron 2),BCL2L11:NM_001204110(intron 2)	20.1004
CCNE1	chr19	30302858	30303058	CCNE1:NM_001238(5' UTR )	11.0663333333333
CDH1	chr16	68771221	68771461	CDH1:NM_004360(5' UTR -intron 1)	38.684
DOCK7	chr1	63153829	63154108	DOCK7:NM_001272001(intron 3-5' UTR ),DOCK7:NM_033407(intron 3-5' UTR ),DOCK7:NM_001271999(intron 3-5' UTR ),DOCK7:NM_001272000(intron 3-5' UTR ),DOCK7:NM_001272002(intron 3-5' UTR )	45.8464
ERBB2	chr17	37856406	37856646	ERBB2:NM_004448(5' UTR -intron 1),ERBB2:NM_001005862(intron 4),ERBB2:NM_001289937(5' UTR -intron 1),ERBB2:NR_110535(5' UTR -intron 1),ERBB2:NM_001289936(intron 5),ERBB2:NM_001289938(intron 4)	13.194
FCGR1A	chr1	149754614	149754854	FCGR1A:NM_000566(intron 1-intron 2),HIST2H2BF:NM_001161334(3' UTR -intron 3)	13.732
FGFR3	chr4	1795574	1795854	FGFR3:NM_001163213(5' UTR -intron 2),FGFR3:NM_000142(5' UTR -intron 2),FGFR3:NM_022965(5' UTR -intron 2)	47.2418
FLT3	chr13	28674504	28674744	FLT3:NM_004119(intron 3-5' UTR )	47.5615
FLT4	chr5	180076395	180076635	FLT4:NM_002020(intron 3-5' UTR ),FLT4:NM_182925(intron 3-5' UTR )	23.17475
GAB2	chr11	78128607	78128847	GAB2:NM_080491(intron 3-5' UTR )	31.75625
GLI1	chr12	57853811	57854090	GLI1:NM_001160045(5' UTR -intron 1),GLI1:NM_001167609(5' UTR -intron 1),GLI1:NM_005269(5' UTR -intron 1)	40.5966
JAK2	chr9	5077355	5077675	JAK2:NM_004972(intron 14-intron 15)	31.8275
MAP2K2	chr19	4123685	4123965	MAP2K2:NM_030662(intron 3-5' UTR )	48.9204
MAP2K4	chr17	11924119	11924399	MAP2K4:NM_003010(5' UTR -intron 1),MAP2K4:NM_001281435(5' UTR -intron 1)	33.294
MAPK1	chr22	22221529	22221809	MAPK1:NM_138957(intron 3-5' UTR ),MAPK1:NM_002745(intron 3-5' UTR )	44.7512
NF1	chr17	29422236	29422476	NF1:NM_001128147(5' UTR -intron 1),NF1:NM_000267(5' UTR -intron 1),NF1:NM_001042492(5' UTR -intron 1)	34.60775
NOTCH1	chr9	139440086	139440326	NOTCH1:NM_017617(intron 3-5' UTR )	14.84775
NPRL3	chr16	174884	175123	NPRL3:NM_001077350(intron 5),NPRL3:NM_001243248(intron 5),NPRL3:NM_001243247(intron 6-intron 5),NPRL3:NM_001243249(intron 4),NPRL3:NM_001039476(intron 4)	38.41975
PTPN11	chr12	112856801	112857041	PTPN11:NM_002834(5' UTR -intron 1),PTPN11:NM_080601(5' UTR -intron 1)	32.38275
RB1	chr13	48954090	48954330	RB1:NM_000321(intron 14-exon 16)	39.72325
RET	chr10	43572621	43572861	RET:NM_020630(5' UTR -intron 1),RET:NM_020975(5' UTR -intron 1)	40.048
SF1	chr11	64545540	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	26.5748571428571
SF1	chr11	64545740	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	43.694
TRRAP	chr7	98476025	98476345	TRRAP:NM_003496(5' UTR -intron 1),TRRAP:NM_001244580(5' UTR -intron 1)	17.105
TYMS	chr18	657524	657764	C18orf56:NM_001012716(intron 3),TYMS:NM_001071(5' UTR -exon 1)	18.295
