Position	Probe	MeanCoverage
20:31019111-31019300	ASXL1+ASXL1_UserDefined_(33127262)_52950144.1	3410
20:31019379-31019567	ASXL1+ASXL1_UserDefined_(33127262)_52950145.1	5249
20:31018989-31019166	ASXL1+ASXL1_UserDefined_(33127262)_52950146.1	5795
20:31019249-31019432	ASXL1+ASXL1_UserDefined_(33127262)_52950147.1	2472
20:31016010-31016192	ASXL1+ASXL1_UserDefined_(33446036)_52950141.1	4967
20:31015888-31016063	ASXL1+ASXL1_UserDefined_(33446036)_52950142.1	2722
20:31016138-31016312	ASXL1+ASXL1_UserDefined_(33446036)_52950143.1	2678
20:31021058-31021227	ASXL1_Cds_16934697_UserDefined_(33446037)_52950793.1	20097
20:31021228-31021398	ASXL1_Cds_16934697_UserDefined_(33446037)_52950794.1	15934
20:31021432-31021617	ASXL1_Cds_16934697_UserDefined_(33446037)_52950795.1	6307
20:31021692-31021874	ASXL1_Cds_16934697_UserDefined_(33446037)_52950796.1	6089
20:31020950-31021120	ASXL1_Cds_16934697_UserDefined_(33446037)_52950797.1	9962
20:31021142-31021311	ASXL1_Cds_16934697_UserDefined_(33446037)_52950798.1	21358
20:31021318-31021488	ASXL1_Cds_16934697_UserDefined_(33446037)_52950799.1	8826
20:31021566-31021742	ASXL1_Cds_16934697_UserDefined_(33446037)_52950800.1	5658
20:30946576-30946764	ASXL1_Cds_16934829_UserDefined_(33127264)_52950148.1	1056
20:30946452-30946625	ASXL1_Cds_16934829_UserDefined_(33127264)_52950149.1	482
20:31017220-31017390	ASXL1_Cds_16935406_UserDefined_(33446038)_52950801.1	2069
20:31017090-31017273	ASXL1_Cds_16935406_UserDefined_(33446038)_52950802.1	2441
20:31022232-31022404	ASXL1_Cds_16936954_UserDefined_(33127266)_52950150.1	7444
20:31022472-31022641	ASXL1_Cds_16936954_UserDefined_(33127266)_52950151.1	5207
20:31022678-31022848	ASXL1_Cds_16936954_UserDefined_(33127266)_52950152.1	7588
20:31022860-31023030	ASXL1_Cds_16936954_UserDefined_(33127266)_52950153.1	9617
20:31023054-31023223	ASXL1_Cds_16936954_UserDefined_(33127266)_52950154.1	17222
20:31023230-31023400	ASXL1_Cds_16936954_UserDefined_(33127266)_52950155.1	11432
20:31023420-31023589	ASXL1_Cds_16936954_UserDefined_(33127266)_52950156.1	8400
20:31023598-31023768	ASXL1_Cds_16936954_UserDefined_(33127266)_52950157.1	10868
20:31023802-31023971	ASXL1_Cds_16936954_UserDefined_(33127266)_52950158.1	12238
20:31023998-31024167	ASXL1_Cds_16936954_UserDefined_(33127266)_52950159.1	11119
