EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
ABL1	chr9	133710751	133710991	ABL1:NM_007313(intron 1),ABL1:NM_005157(5' UTR -intron 1)	49.477
ASXL1	chr20	30946485	30946685	ASXL1:NM_015338(5' UTR -intron 1),ASXL1:NM_001164603(5' UTR -intron 1)	4.17833333333333
BCL2L11	chr2	111887637	111887757	BCL2L11:NM_001204113(intron 3),BCL2L11:NM_207003(intron 2),BCL2L11:NM_001204112(intron 3),BCL2L11:NM_006538(intron 3),BCL2L11:NM_001204111(intron 3),BCL2L11:NM_001204107(intron 2),BCL2L11:NM_001204106(intron 2),BCL2L11:NM_001204109(intron 2),BCL2L11:NM_001204108(intron 2),BCL2L11:NM_138627(intron 2),BCL2L11:NM_138626(intron 2),BCL2L11:NM_138625(intron 2-exon 3),BCL2L11:NM_138624(intron 2),BCL2L11:NM_138623(intron 3),BCL2L11:NM_138622(intron 2),BCL2L11:NM_138621(intron 2),BCL2L11:NM_001204110(intron 2)	7.924
BRAF	chr7	140624273	140624553	BRAF:NM_004333(intron 3-5' UTR )	6.627
CBL	chr11	119077103	119077343	CBL:NM_005188(5' UTR -intron 1)	44.09575
CCNE1	chr19	30303359	30303599	CCNE1:NM_001238(intron 1-exon 3)	33.074
CDH1	chr16	68771221	68771461	CDH1:NM_004360(5' UTR -intron 1)	12.68375
CDH1	chr16	68772115	68772395	CDH1:NM_004360(intron 1-intron 2)	44.9932
CDKN2A	chr9	21970872	21971232	CDKN2A:NM_001195132(intron 4-intron 3),CDKN2A:NM_058197(intron 4-intron 3),CDKN2A:NM_058195(intron 4-intron 3),CDKN2A:NM_000077(intron 4-intron 3)	32.9051428571429
CDKN2A	chr9	21994112	21994352	CDKN2A:NM_058195(intron 3-5' UTR )	19.0515
CYP2D6	chr22	42525650	42525890	CYP2D6:NM_001025161(intron 4-exon 3),CYP2D6:NM_000106(intron 4-exon 3)	39.083
DNMT3A	chr2	25474943	25475183	DNMT3A:NM_175629(intron 8),DNMT3A:NM_022552(intron 8),DNMT3A:NM_153759(intron 3-5' UTR )	44.932
DNMT3A	chr2	25536696	25536936	DNMT3A:NM_175629(intron 4-5' UTR ),DNMT3A:NM_175630(intron 4-5' UTR ),DNMT3A:NM_022552(intron 4-5' UTR )	9.52025
EGFR	chr7	55086873	55087153	EGFR:NM_201284(5' UTR -intron 1),EGFR:NM_201283(5' UTR -intron 1),EGFR:NM_201282(5' UTR -intron 1),EGFR:NM_005228(5' UTR -intron 1)	19.138
EML4	chr2	42552578	42552778	EML4:NM_001145076(intron 18-intron 19),EML4:NM_019063(intron 19-intron 20)	31.587
EPHA5	chr4	66535248	66535488	EPHA5:NM_004439(intron 3-5' UTR ),EPHA5:NM_182472(intron 3-5' UTR ),EPHA5:NM_001281765(intron 3-5' UTR ),EPHA5:NM_001281767(intron 3-5' UTR ),EPHA5:NM_001281766(intron 3-5' UTR )	17.573
ERBB3	chr12	56473984	56474264	ERBB3:NM_001982(5' UTR -intron 1),ERBB3:NM_001005915(5' UTR -intron 1)	45.716
FCGR1A	chr1	149754614	149754774	FCGR1A:NM_000566(intron 1-intron 2),HIST2H2BF:NM_001161334(3' UTR )	10.894
FGFR3	chr4	1795614	1795854	FGFR3:NM_001163213(5' UTR -intron 2),FGFR3:NM_000142(5' UTR -intron 2),FGFR3:NM_022965(5' UTR -intron 2)	8.0235
FGFR3	chr4	1803072	1803352	FGFR3:NM_001163213(intron 4-exon 6),FGFR3:NM_000142(intron 4-exon 6),FGFR3:NM_022965(intron 4-exon 6)	30.2466
FGFR3	chr4	1806462	1806782	FGFR3:NM_001163213(intron 9-intron 10),FGFR3:NM_000142(intron 9-intron 10),FGFR3:NM_022965(intron 7-intron 8)	46.1178333333333
FGFR4	chr5	176522507	176522747	FGFR4:NM_002011(intron 12-intron 13),FGFR4:NM_213647(intron 12-intron 13),FGFR4:NM_022963(intron 10-intron 11)	38.93275
FLT1	chr13	29068827	29069067	FLT1:NM_001160030(intron 3-5' UTR ),FLT1:NM_002019(intron 3-5' UTR ),FLT1:NM_001159920(intron 3-5' UTR ),FLT1:NM_001160031(intron 3-5' UTR )	13.408
FLT4	chr5	180045923	180046203	FLT4:NM_002020(intron 22-intron 21),FLT4:NM_182925(intron 22-intron 21)	24.0548
GNAS	chr20	57466689	57467009	GNAS:NM_001077490(intron 1),GNAS:NM_016592(intron 1),GNAS:NM_080425(intron 1),GNAS:NR_003259(intron 1),GNAS:NM_001077488(5' UTR -intron 1),GNAS:NM_000516(5' UTR -intron 1),GNAS:NM_080426(5' UTR -intron 1),GNAS:NM_001077489(5' UTR -intron 1)	29.2506666666667
HRAS	chr11	533208	533448	HRAS:NM_001130442(intron 6),HRAS:NM_005343(intron 6),HRAS:NM_176795(intron 7-intron 6)	34.625
IDH2	chr15	90645463	90645703	IDH2:NM_001290114(intron 3-5' UTR ),IDH2:NM_002168(intron 3-5' UTR )	12.4045
JAK3	chr19	17940830	17941110	JAK3:NM_000215(intron 25-intron 24)	33.1568
JAK3	chr19	17947838	17948118	JAK3:NM_000215(intron 15-intron 14)	40.759
JAK3	chr19	17953090	17953450	JAK3:NM_000215(intron 8-intron 7)	35.9437142857143
KDM6A	chrX	44732756	44732996	KDM6A:NM_021140(5' UTR -intron 1)	39.8515
MAP2K2	chr19	4094352	4094592	MAP2K2:NM_030662(intron 12-intron 11)	28.1585
MAP2K2	chr19	4123685	4123965	MAP2K2:NM_030662(intron 3-5' UTR )	19.2024
MPL	chr1	43814432	43814752	MPL:NM_005373(intron 8-intron 9)	27.9955
NF1	chr17	29422236	29422476	NF1:NM_001128147(5' UTR -intron 1),NF1:NM_000267(5' UTR -intron 1),NF1:NM_001042492(5' UTR -intron 1)	13.889
NKX2-1	chr14	36989174	36989414	NKX2-1:NM_001079668(intron 3-5' UTR ),NKX2-1-AS1:NR_103710(intron 1)	46.8705
NOTCH1	chr9	139403281	139403561	NOTCH1:NM_017617(intron 21-intron 20)	37.6704
NOTCH1	chr9	139409815	139410190	NOTCH1:NM_017617(exon 13-intron 12)	38.7576666666667
NOTCH1	chr9	139417269	139417669	NOTCH1:NM_017617(intron 6-intron 5)	35.040375
NOTCH1	chr9	139418138	139418458	NOTCH1:NM_017617(intron 5-intron 4)	37.7615
NOTCH2	chr1	120611862	120612102	NOTCH2:NM_024408(intron 3-5' UTR ),NOTCH2:NM_001200001(intron 3-5' UTR )	1.89975
PMS2	chr7	6012940	6013260	PMS2:NM_000535(3' UTR -intron 16),PMS2:NR_003085(3' UTR -intron 16)	28.4866666666667
PTCH1	chr9	98270401	98270681	PTCH1:NM_000264(intron 3-5' UTR ),PTCH1:NM_001083602(intron 3),PTCH1:NM_001083603(intron 3)	29.0626
RARA	chr17	38512228	38512508	RARA:NM_001024809(intron 7-3' UTR ),RARA:NM_000964(intron 8-3' UTR ),RARA:NM_001145301(intron 8-3' UTR ),RARA:NM_001145302(intron 6-3' UTR )	28.6108
RB1	chr13	48877955	48878275	RB1:NM_000321(5' UTR -intron 1)	17.0621666666667
RET	chr10	43600359	43600679	RET:NM_020630(intron 3-intron 4),RET:NM_020975(intron 3-intron 4)	37.7346666666667
RET	chr10	43601800	43602040	RET:NM_020630(intron 4-intron 5),RET:NM_020975(intron 4-intron 5)	27.94625
