Gene	Position	Segment_Bases	Ave_Adjusted_Log_Ratio	Ave_Stdev	Exon_Score	Pvalue	B-H_Pvalue	Transcripts	AveDepth
ABCB1	chr7:87138523-87138763	240	-0.131073877629639	0.0702395543243751	36.2839206992844	0.681543362386279	0.999983172729405	ABCB1:NM_000927(intron 29-exon 28)	237.10125
ABCB1	chr7:87160496-87160736	240	0.188035779988655	0.104891092393991	44.1926830989088	0.656299561359953	0.999983172729405	ABCB1:NM_000927(intron 24-exon 23)	197.84575
ABCC4	chr13:95815293-95815533	240	-0.0604176025788905	0.0919582881321733	15.0281650664443	0.853741845878817	0.999983172729405	ABCC4:NM_001105515(intron 20-intron 19),ABCC4:NM_005845(intron 20-intron 19)	152.734
ABCG2	chr4:89052201-89052441	240	-0.0776405173906458	0.0163963415971497	33.2659127702419	0.812636771225331	0.999983172729405	ABCG2:NM_001257386(intron 7-intron 6),ABCG2:NM_004827(intron 7-intron 6)	229.36175
ABL1	chr9:133589613-133589933	320	0.0406761018345235	0.0577972823670518	16.1154495783139	0.851780573613679	0.999983172729405	ABL1:NM_007313(5' UTR -intron 1)	238.651166666667
ABL1	chr9:133710751-133710991	240	-0.101133933201534	0.243782263771007	14.8787731451056	0.788764104360363	0.999983172729405	ABL1:NM_007313(intron 1),ABL1:NM_005157(5' UTR -intron 1)	49.477
ABL1	chr9:133729416-133729656	240	0.0356756022012973	0.0846690437888082	9.18097647728389	0.806165091702204	0.999983172729405	ABL1:NM_007313(intron 1-intron 2),ABL1:NM_005157(intron 1-intron 2)	236.6405
ABL1	chr9:133730154-133730514	360	-0.127705304103974	0.105822246698668	44.8440097273597	0.612547506779485	0.999983172729405	ABL1:NM_007313(intron 2-intron 3),ABL1:NM_005157(intron 2-intron 3)	272.664142857143
ABL1	chr9:133738124-133738444	320	-0.464372175039994	0.0672840967264785	174.171153872763	0.260281636538122	0.999983172729405	ABL1:NM_007313(intron 3-intron 4),ABL1:NM_005157(intron 3-intron 4)	150.259333333333
ABL1	chr9:133747416-133747696	280	-0.0333280863545584	0.116838225884094	8.70117056929631	0.82637549361334	0.999983172729405	ABL1:NM_007313(intron 4-intron 5),ABL1:NM_005157(intron 4-intron 5)	151.5608
ABL1	chr9:133748214-133748454	240	-0.517481112771452	0.116655710672384	115.886044678412	0.274858527141016	0.999983172729405	ABL1:NM_007313(intron 5-intron 6),ABL1:NM_005157(intron 5-intron 6)	124.39225
ABL1	chr9:133750225-133750465	240	-0.109745294747679	0.0351132628767962	38.3106463695181	0.757329889057236	0.999983172729405	ABL1:NM_007313(intron 6-intron 7),ABL1:NM_005157(intron 6-intron 7)	202.2105
ABL1	chr9:133753716-133754036	320	-0.108918787435669	0.0295261879572484	53.3194103017526	0.734050485304202	0.999983172729405	ABL1:NM_007313(intron 7-intron 8),ABL1:NM_005157(intron 7-intron 8)	236.500166666667
ABL1	chr9:133755358-133755638	280	-0.209560851308183	0.12825194034589	52.3361661576397	0.522198294902635	0.999983172729405	ABL1:NM_007313(intron 8-intron 9),ABL1:NM_005157(intron 8-intron 9)	236.7888
