EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
ABL2	chr1	179198292	179198612	ABL2:NM_001168238(intron 3-5' UTR ),ABL2:NM_001168237(intron 3-5' UTR ),ABL2:NM_001168236(intron 3-5' UTR ),ABL2:NM_007314(intron 3-5' UTR ),ABL2:NM_001136001(intron 3-5' UTR )	27.735
AKT2	chr19	40791055	40791295	AKT2:NM_001243028(intron 3-5' UTR ),AKT2:NM_001626(intron 3-5' UTR ),AKT2:NM_001243027(intron 3-5' UTR )	5.151
ASXL1	chr20	30946485	30946725	ASXL1:NM_015338(5' UTR -intron 1),ASXL1:NM_001164603(5' UTR -intron 1)	18.7695
ATRX	chrX	76911957	76912236	ATRX:NM_138270(intron 14-intron 13),ATRX:NM_000489(intron 15-intron 14)	35.134
AXL	chr19	41725043	41725442	AXL:NM_021913(5' UTR -intron 1),AXL:NM_001699(5' UTR -intron 1)	41.369
BCL2L11	chr2	111887637	111887917	BCL2L11:NM_001204113(intron 3),BCL2L11:NM_207003(intron 2),BCL2L11:NM_001204112(intron 3),BCL2L11:NM_006538(intron 3),BCL2L11:NM_001204111(intron 3),BCL2L11:NM_001204107(intron 2),BCL2L11:NM_001204106(intron 2),BCL2L11:NM_001204109(intron 2),BCL2L11:NM_001204108(intron 2),BCL2L11:NM_138627(intron 2),BCL2L11:NM_138626(intron 2),BCL2L11:NM_138625(intron 2-intron 3),BCL2L11:NM_138624(intron 2),BCL2L11:NM_138623(intron 3),BCL2L11:NM_138622(intron 2),BCL2L11:NM_138621(intron 2),BCL2L11:NM_001204110(intron 2)	10.2292
BRAF	chr7	140624273	140624593	BRAF:NM_004333(intron 3-5' UTR )	20.1926666666667
CBL	chr11	119077103	119077343	CBL:NM_005188(5' UTR -intron 1)	40.775
CCNE1	chr19	30303359	30303599	CCNE1:NM_001238(intron 1-exon 3)	30.67075
CDH1	chr16	68771221	68771461	CDH1:NM_004360(5' UTR -intron 1)	17.80125
CDKN2A	chr9	21970872	21971232	CDKN2A:NM_001195132(intron 4-intron 3),CDKN2A:NM_058197(intron 4-intron 3),CDKN2A:NM_058195(intron 4-intron 3),CDKN2A:NM_000077(intron 4-intron 3)	36.8735714285714
CDKN2A	chr9	21994112	21994352	CDKN2A:NM_058195(intron 3-5' UTR )	26.428
CHD1	chr5	98194574	98194813	CHD1:NM_001270(intron 35-intron 34)	41.384
CHD1	chr5	98230206	98230485	CHD1:NM_001270(intron 14-intron 13)	44.9408
DEPDC5	chr22	32149884	32150083	DEPDC5:NM_001242896(5' UTR ),DEPDC5:NM_014662(5' UTR ),DEPDC5:NM_001242897(5' UTR -intron 1),DEPDC5:NM_001007188(5' UTR )	15.7336666666667
DEPDC5	chr22	32149924	32150203	DEPDC5:NM_001242896(5' UTR -intron 1),DEPDC5:NM_014662(5' UTR -intron 1),DEPDC5:NM_001242897(5' UTR -intron 1),DEPDC5:NM_001007188(5' UTR -intron 1)	24.3084
DNMT3A	chr2	25474943	25475183	DNMT3A:NM_175629(intron 8),DNMT3A:NM_022552(intron 8),DNMT3A:NM_153759(intron 3-5' UTR )	40.19125
DNMT3A	chr2	25536696	25536936	DNMT3A:NM_175629(intron 4-5' UTR ),DNMT3A:NM_175630(intron 4-5' UTR ),DNMT3A:NM_022552(intron 4-5' UTR )	19.73375
