EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
ABL2	chr1	179198292	179198612	ABL2:NM_001168238(intron 3-5' UTR ),ABL2:NM_001168237(intron 3-5' UTR ),ABL2:NM_001168236(intron 3-5' UTR ),ABL2:NM_007314(intron 3-5' UTR ),ABL2:NM_001136001(intron 3-5' UTR )	30.845
AKT2	chr19	40791055	40791295	AKT2:NM_001243028(intron 3-5' UTR ),AKT2:NM_001626(intron 3-5' UTR ),AKT2:NM_001243027(intron 3-5' UTR )	5.4015
ASXL1	chr20	30946485	30946725	ASXL1:NM_015338(5' UTR -intron 1),ASXL1:NM_001164603(5' UTR -intron 1)	21.82775
ATRX	chrX	76911957	76912236	ATRX:NM_138270(intron 14-intron 13),ATRX:NM_000489(intron 15-intron 14)	38.5998
AXL	chr19	41725043	41725442	AXL:NM_021913(5' UTR -intron 1),AXL:NM_001699(5' UTR -intron 1)	45.45875
BCL2L11	chr2	111887637	111887917	BCL2L11:NM_001204113(intron 3),BCL2L11:NM_207003(intron 2),BCL2L11:NM_001204112(intron 3),BCL2L11:NM_006538(intron 3),BCL2L11:NM_001204111(intron 3),BCL2L11:NM_001204107(intron 2),BCL2L11:NM_001204106(intron 2),BCL2L11:NM_001204109(intron 2),BCL2L11:NM_001204108(intron 2),BCL2L11:NM_138627(intron 2),BCL2L11:NM_138626(intron 2),BCL2L11:NM_138625(intron 2-intron 3),BCL2L11:NM_138624(intron 2),BCL2L11:NM_138623(intron 3),BCL2L11:NM_138622(intron 2),BCL2L11:NM_138621(intron 2),BCL2L11:NM_001204110(intron 2)	11.2524
BRAF	chr7	140624273	140624593	BRAF:NM_004333(intron 3-5' UTR )	22.1636666666667
CBL	chr11	119077103	119077343	CBL:NM_005188(5' UTR -intron 1)	44.805
CCNE1	chr19	30303359	30303599	CCNE1:NM_001238(intron 1-exon 3)	33.68975
CDH1	chr16	68771221	68771461	CDH1:NM_004360(5' UTR -intron 1)	19.37125
CDKN2A	chr9	21970872	21971232	CDKN2A:NM_001195132(intron 4-intron 3),CDKN2A:NM_058197(intron 4-intron 3),CDKN2A:NM_058195(intron 4-intron 3),CDKN2A:NM_000077(intron 4-intron 3)	40.5131428571429
CDKN2A	chr9	21994112	21994352	CDKN2A:NM_058195(intron 3-5' UTR )	29.02275
CHD1	chr5	98194574	98194813	CHD1:NM_001270(intron 35-intron 34)	45.47575
CHD1	chr5	98230206	98230485	CHD1:NM_001270(intron 14-intron 13)	49.3878
DEPDC5	chr22	32149884	32150083	DEPDC5:NM_001242896(5' UTR ),DEPDC5:NM_014662(5' UTR ),DEPDC5:NM_001242897(5' UTR -intron 1),DEPDC5:NM_001007188(5' UTR )	17.2583333333333
DEPDC5	chr22	32149924	32150203	DEPDC5:NM_001242896(5' UTR -intron 1),DEPDC5:NM_014662(5' UTR -intron 1),DEPDC5:NM_001242897(5' UTR -intron 1),DEPDC5:NM_001007188(5' UTR -intron 1)	26.691
DNMT3A	chr2	25474943	25475183	DNMT3A:NM_175629(intron 8),DNMT3A:NM_022552(intron 8),DNMT3A:NM_153759(intron 3-5' UTR )	43.6265
DNMT3A	chr2	25536696	25536936	DNMT3A:NM_175629(intron 4-5' UTR ),DNMT3A:NM_175630(intron 4-5' UTR ),DNMT3A:NM_022552(intron 4-5' UTR )	21.6585
DOCK7	chr1	63153829	63154108	DOCK7:NM_001272001(intron 3-5' UTR ),DOCK7:NM_033407(intron 3-5' UTR ),DOCK7:NM_001271999(intron 3-5' UTR ),DOCK7:NM_001272000(intron 3-5' UTR ),DOCK7:NM_001272002(intron 3-5' UTR )	16.8058
DPYD	chr1	98144555	98144834	DPYD:NM_000110(intron 10-intron 9)	49.2924
EGFR	chr7	55086873	55087153	EGFR:NM_201284(5' UTR -intron 1),EGFR:NM_201283(5' UTR -intron 1),EGFR:NM_201282(5' UTR -intron 1),EGFR:NM_005228(5' UTR -intron 1)	14.048
EML4	chr2	42552578	42552778	EML4:NM_001145076(intron 18-intron 19),EML4:NM_019063(intron 19-intron 20)	31.0176666666667
EPHA5	chr4	66535248	66535488	EPHA5:NM_004439(intron 3-5' UTR ),EPHA5:NM_182472(intron 3-5' UTR ),EPHA5:NM_001281765(intron 3-5' UTR ),EPHA5:NM_001281767(intron 3-5' UTR ),EPHA5:NM_001281766(intron 3-5' UTR )	23.24
ERBB2	chr17	37856406	37856646	ERBB2:NM_004448(5' UTR -intron 1),ERBB2:NM_001005862(intron 4),ERBB2:NM_001289937(5' UTR -intron 1),ERBB2:NR_110535(5' UTR -intron 1),ERBB2:NM_001289936(intron 5),ERBB2:NM_001289938(intron 4)	10.82875
FBXW7	chr4	153271093	153271373	FBXW7:NM_033632(intron 5-intron 4),FBXW7:NM_018315(intron 4-intron 3),FBXW7:NM_001013415(intron 4-intron 3)	44.5906
FCGR1A	chr1	149754614	149754854	FCGR1A:NM_000566(intron 1-intron 2),HIST2H2BF:NM_001161334(3' UTR -intron 3)	14.1905
FGFR3	chr4	1795574	1795854	FGFR3:NM_001163213(5' UTR -intron 2),FGFR3:NM_000142(5' UTR -intron 2),FGFR3:NM_022965(5' UTR -intron 2)	11.3998
FGFR3	chr4	1803072	1803352	FGFR3:NM_001163213(intron 4-exon 6),FGFR3:NM_000142(intron 4-exon 6),FGFR3:NM_022965(intron 4-exon 6)	39.8962
FGFR3	chr4	1807450	1807690	FGFR3:NM_001163213(intron 12-intron 13),FGFR3:NM_000142(intron 12-intron 13),FGFR3:NM_022965(intron 10-intron 11)	45.13
FGFR3	chr4	1808754	1809074	FGFR3:NM_001163213(intron 17-3' UTR ),FGFR3:NM_000142(intron 17-3' UTR ),FGFR3:NM_022965(intron 15-3' UTR )	45.0515
FLT1	chr13	29068827	29069067	FLT1:NM_001160030(intron 3-5' UTR ),FLT1:NM_002019(intron 3-5' UTR ),FLT1:NM_001159920(intron 3-5' UTR ),FLT1:NM_001160031(intron 3-5' UTR )	24.63325
FLT3	chr13	28674504	28674744	FLT3:NM_004119(intron 3-5' UTR )	17.23175
FLT4	chr5	180076395	180076635	FLT4:NM_002020(intron 3-5' UTR ),FLT4:NM_182925(intron 3-5' UTR )	6.41175
GAB2	chr11	78128607	78128847	GAB2:NM_080491(intron 3-5' UTR )	21.85075
GATA2	chr3	128205618	128205898	GATA2:NM_001145661(intron 5-5' UTR ),GATA2:NM_001145662(intron 4-5' UTR ),GATA2:NM_032638(intron 4-5' UTR )	42.882
GLI1	chr12	57853811	57854090	GLI1:NM_001160045(5' UTR -intron 1),GLI1:NM_001167609(5' UTR -intron 1),GLI1:NM_005269(5' UTR -intron 1)	17.0112
GNAS	chr20	57466689	57467009	GNAS:NM_001077490(intron 1),GNAS:NM_016592(intron 1),GNAS:NM_080425(intron 1),GNAS:NR_003259(intron 1),GNAS:NM_001077488(5' UTR -intron 1),GNAS:NM_000516(5' UTR -intron 1),GNAS:NM_080426(5' UTR -intron 1),GNAS:NM_001077489(5' UTR -intron 1)	47.553
H3F3A	chr1	226250340	226250579	H3F3AP4:NR_002315(5' UTR -intron 1),H3F3A:NM_002107(5' UTR -intron 1)	37.032
